PLAYER_NAME,PLAYER_NORM,TEAM,season_avg,games,category,team_slate,team_def_key,rank_on_team,leader_side,PLAYER_NAME_split,n_games,n_elite,n_weak,avg_delta_all,avg_delta_vs_elite,avg_delta_vs_weak,avg_delta_vs_mid,def_rank_corr,weak_over_rate,elite_over_rate,def_boost,overperform_vs_weak,fades_vs_elite,player,team,opp_team,prop_norm,line,bet_direction,final_bet_direction,rank_score,edge,tier,slate_opp_def_rank,slate_opp_def_tier,line_hit_rate_over_ou_5,stat_last5_avg,player_norm,on_slate,slate_edge_signal
Dyson Daniels,dyson daniels,ATL,2.2758620689655173,29,stocks,ATL,ATL,2,top,Dyson Daniels,26,5,10,0.0901105176656032,0.052709904474610346,0.13993788819875772,0.061813186813186816,-0.006020404366086879,0.5,0.4,0.08722798372414736,False,False,,,,,,,,,,,,,,,,False,False
Nickeil Alexander-Walker,nickeil alexander-walker,ATL,2.064516129032258,31,stocks,ATL,ATL,3,top,Nickeil Alexander-Walker,28,6,9,0.10466018947599671,0.0838268213268214,0.47328608210961165,-0.14092695089380963,0.12335387220489695,0.4444444444444444,0.6666666666666666,0.38945926078279025,False,False,,,,,,,,,,,,,,,,False,False
Josh Minott,josh minott,BKN,0.5,8,ast,BKN,BKN,1,bottom,Josh Minott,8,2,2,0.1476506132756133,-0.3666666666666667,0.09027777777777779,0.43349567099567093,0.22028872411245787,0.5,0.0,0.4569444444444445,False,True,,,,,,,,,,,,,,,,False,False
Tyrese Martin,tyrese martin,BKN,0.5,10,ast,BKN,BKN,2,bottom,Tyrese Martin,7,3,2,-0.09654195011337866,-0.15185185185185188,-0.5833333333333333,0.4732142857142857,-0.35213764051441776,0.0,0.3333333333333333,-0.43148148148148135,False,False,,,,,,,,,,,,,,,,False,False
Jalen Wilson,jalen wilson,BKN,0.6956521739130435,23,ast,BKN,BKN,3,bottom,Jalen Wilson,20,6,9,0.1911981897101866,0.007308377896613205,0.5858074673864146,-0.29843073593073594,0.3417668438942976,0.5555555555555556,0.5,0.5784990894898014,True,False,,,,,,,,,,,,,,,,False,False
Nolan Traore,nolan traore,BKN,4.235294117647059,34,ast,BKN,BKN,1,top,Nolan Traore,31,8,13,0.31464553742511503,-1.1676336684149184,1.5934725382664612,-0.16200619899660823,0.42904496018295085,0.6923076923076923,0.125,2.7611062066813794,True,True,,,,,,,,,,,,,,,,False,False
Nic Claxton,nic claxton,BKN,3.566666666666667,30,ast,BKN,BKN,2,top,Nic Claxton,27,8,12,0.3918313966544005,0.3244775906460688,0.7894228627123363,-0.2127781954353963,0.21767033424155846,0.6666666666666666,0.625,0.4649452720662675,False,False,,,,,,,,,,,,,,,,False,False
Cam Thomas,cam thomas,BKN,3.357142857142857,14,ast,BKN,BKN,3,top,Cam Thomas,11,4,5,0.8227441750169023,-0.5173611111111112,2.716233766233766,-1.2307692307692308,0.6182776183082506,1.0,0.25,3.2335948773448773,True,True,,,,,,,,,,,,,,,,False,False
Cam Thomas,cam thomas,BKN,0.07142857142857142,14,blk,BKN,BKN,1,bottom,Cam Thomas,11,4,5,-0.1527394322848868,-0.10486111111111111,-0.1700865800865801,-0.20512820512820512,-0.21057447472958632,0.0,0.0,-0.06522546897546898,False,False,,,,,,,,,,,,,,,,False,False
Jalen Wilson,jalen wilson,BKN,0.08695652173913043,23,blk,BKN,BKN,2,bottom,Jalen Wilson,20,6,9,-0.13991465835506084,-0.19118071471012646,-0.0911356025391113,-0.1661976911976912,0.11783189985663609,0.1111111111111111,0.0,0.10004511217101517,False,False,,,,,,,,,,,,,,,,False,False
