espn_player_id,player_name,team_abbr,position,jersey,status
4710661,Chandler Zavala,CAR,G,62,Active
4426646,Jared Bartlett,CAR,LB,56,Active
4035495,Derrick Brown,CAR,DT,95,Active
4372518,Bobby Brown III,CAR,DT,97,Active
4256224,Claudin Cherelus,CAR,LB,53,Active
4244607,Akayleb Evans,CAR,CB,29,Active
4367330,Tyrek Funderburk,CAR,CB,20,Active
3917016,Trevis Gipson,CAR,LB,52,Active
4685375,Jaylon Guilbeau,CAR,CB,41,Active
4602967,Aaron Hall,CAR,DT,61,Active
4360773,Nick Hampton,CAR,LB,39,Active
4427401,Jared Harrison-Hunte,CAR,DE,94,Active
4362847,Jaycee Horn,CAR,CB,8,Active
4431551,Lee Hunter,CAR,DT,92,Active
4714157,Thomas Incoom,CAR,LB,48,Active
4687513,Cam Jackson,CAR,DT,99,Active
3917853,Mike Jackson,CAR,CB,2,Active
4036063,Patrick Jones II,CAR,LB,91,Active
4875592,Jackson Kuwatch,CAR,LB,46,Active
5151083,Will Lee III,CAR,CB,24,Active
4243256,Devin Lloyd,CAR,LB,55,Active
4432729,Tywone Malone Jr.,CAR,DT,95,Active
4880613,Bam Martin-Scott,CAR,LB,54,Active
4702576,Cam Miller,CAR,CB,42,Active
4362487,Tre'von Moehrig,CAR,S,7,Active
5279357,Mapalo Mwansa,CAR,LB,58,Active
4428125,Maema Njongmeta,CAR,LB,40,Active
4875848,Parker Petersen,CAR,DT,69,Active
4242975,Jaelan Phillips,CAR,LB,5,Active
4429110,Lathan Ransom,CAR,S,22,Active
4241473,LaBryan Ray,CAR,DE,93,Active
4775268,Michael Reid,CAR,CB,35,Active
4426926,Demani Richardson,CAR,S,36,Active
4032200,Robert Rochell,CAR,CB,33,Active
3116179,Nick Scott,CAR,S,21,Active
4833355,Nic Scourton,CAR,LB,11,Active
4035462,Isaiah Simmons,CAR,S,27,Active
4594449,DeVonta Smith,CAR,CB,43,Active
4816330,Isaiah Smith,CAR,LB,47,Active
4697636,Chau Smith-Wade,CAR,CB,26,Active
4431426,Corey Thornton,CAR,CB,31,Active
4429166,Princely Umanmielen,CAR,LB,3,Active
4683815,Trevin Wallace,CAR,LB,32,Active
4058925,Tershawn Wharton,CAR,DT,98,Active
4566384,Zakee Wheatley,CAR,S,38,Active
4568263,Ryan Fitzgerald,CAR,PK,10,Active
11759,JJ Jansen,CAR,LS,44,Active
15928,Sam Martin,CAR,P,6,Active
5082648,Bryce Pierre,CAR,TE,45,Day-To-Day
4243315,Salvon Ahmed,CHI,RB,36,Active
3914307,Maurice Alexander,CHI,WR,13,Active
4883090,Kiran Amegadjie,CHI,OT,72,Active
4434153,Tyson Bagent,CHI,QB,17,Active
4709983,Caden Barnett,CHI,G,76,Active
5125873,Theo Benedet,CHI,OT,79,Active
4694074,Coleman Bennett,CHI,RB,30,Active
3116729,Garrett Bradbury,CHI,C,67,Active
4036032,Brittain Brown,CHI,RB,38,Active
4685278,Luther Burden III,CHI,WR,10,Active
3948283,Stephen Carlson,CHI,TE,88,Active
4384683,Kyle Hergel,CHI,G,60,Active
4432784,Kyron Hudson,CHI,WR,20,Active
4379769,Qadir Ismail,CHI,TE,80,Active
3930040,Jonah Jackson,CHI,G,73,Active
4426386,Roschon Johnson,CHI,RB,23,Active
4251007,Braxton Jones,CHI,OT,70,Active
4686907,Logan Jones,CHI,C,54,Active
4916349,Nikola Kalinic,CHI,TE,86,Active
15168,Case Keenum,CHI,QB,11,Active
4701951,Omari Kelly,CHI,WR,82,Active
4258595,Cole Kmet,CHI,TE,85,Active
4608746,Jaren Kump,CHI,C,64,Active
5150662,Hayden Large,CHI,TE,43,Active
4723086,Colston Loveland,CHI,TE,84,Active
4360319,Jordan McFadden,CHI,G,74,Active
3914397,Scotty Miller,CHI,WR,35,Active
4608686,Kyle Monangai,CHI,RB,25,Active
4431580,Miller Moss,CHI,QB,16,Active
4682479,Mason Murphy,CHI,OT,63,Active
4695895,Luke Newman,CHI,OT,65,Active
4431299,Rome Odunze,CHI,WR,15,Active
2973405,Kalif Raymond,CHI,WR,14,Active
4685183,JP Richardson,CHI,WR,83,Active
4685504,Sam Roush,CHI,TE,87,Active
4259545,D'Andre Swift,CHI,RB,4,Active
4869748,Zavion Thomas,CHI,WR,81,Active
2577773,Joe Thuney,CHI,G,62,Active
4432595,Ozzy Trapilo,CHI,OT,75,Active
5160110,Jahdae Walker,CHI,WR,9,Active
4431611,Caleb Williams,CHI,QB,18,Active
4241482,Jedrick Wills Jr.,CHI,OT,71,Active
