projection_id,player_id,player_name,team,position,stat_type,line_score,standard_line,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,delta_pct,stat_norm,player_role,opponent,is_home,nhl_player_id,combo_prop,combo_player_ids
12076727,92038,Mattias Samuelsson,BUF,D,Blocked Shots,2.5,,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,blocked_shots,SKATER,MTL,1,8480807,False,
12076734,218353,Mike Matheson,MTL,D,Shots On Goal,2.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,BUF,0,8476875,False,
12076740,267670,Noah Dobson,MTL,D,Shots On Goal,2.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,BUF,0,8480865,False,
12076752,218270,Tage Thompson,BUF,F,Shots On Goal,2.5,,goblin,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,MTL,1,8479420,False,
12076753,180709,Zach Benson,BUF,F,Shots On Goal,2.5,,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,MTL,1,8484145,False,
12077707,218218,Rasmus Dahlin,BUF,D,Shots On Goal,2.5,2.5,standard,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0,shots_on_goal,SKATER,MTL,1,8480839,False,
12084042,218332,Ukko-Pekka Luukkonen,BUF,G,Goals Allowed,2.5,2.5,standard,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0,goals_allowed,GOALIE,MTL,1,8480045,False,
12061144,218266,Cole Caufield,MTL,F,Goals,1.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,goals,SKATER,BUF,0,8481540,False,
12061166,218270,Tage Thompson,BUF,F,Goals,1.5,,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,goals,SKATER,MTL,1,8479420,False,
12064959,59156,Josh Anderson,MTL,F,Shots On Goal,1.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,BUF,0,8476981,False,
12064971,218353,Mike Matheson,MTL,D,Shots On Goal,1.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,BUF,0,8476875,False,
12065334,282765,Alexandre Texier,MTL,F,Shots On Goal,1.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,BUF,0,8480074,False,
12065339,192709,Bowen Byram,BUF,D,Shots On Goal,1.5,1.5,standard,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0,shots_on_goal,SKATER,MTL,1,8481524,False,
