projection_id,player_id,player_name,team,position,stat_type,line_score,standard_line,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,delta_pct
12076734,218353,Mike Matheson,MTL,D,Shots On Goal,2.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076740,267670,Noah Dobson,MTL,D,Shots On Goal,2.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076752,218270,Tage Thompson,BUF,F,Shots On Goal,2.5,,goblin,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076753,180709,Zach Benson,BUF,F,Shots On Goal,2.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12077707,218218,Rasmus Dahlin,BUF,D,Shots On Goal,2.5,2.5,standard,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0
12084042,218332,Ukko-Pekka Luukkonen,BUF,G,Goals Allowed,2.5,2.5,standard,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0
12061144,218266,Cole Caufield,MTL,F,Goals,1.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12061166,218270,Tage Thompson,BUF,F,Goals,1.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12064959,59156,Josh Anderson,MTL,F,Shots On Goal,1.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12064971,218353,Mike Matheson,MTL,D,Shots On Goal,1.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12065334,282765,Alexandre Texier,MTL,F,Shots On Goal,1.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12065339,192709,Bowen Byram,BUF,D,Shots On Goal,1.5,1.5,standard,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0
12065345,272442,Conor Timmins,BUF,D,Blocked Shots,1.5,,goblin,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12065349,235084,Ivan Demidov,MTL,F,Shots On Goal,1.5,,goblin,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12065354,220168,Jason Zucker,BUF,F,Shots On Goal,1.5,1.5,standard,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0
12065361,230933,Josh Norris,BUF,F,Shots On Goal,1.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12065364,87735,Kaiden Guhle,MTL,D,Blocked Shots,1.5,,goblin,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12065366,218267,Lane Hutson,MTL,D,Blocked Shots,1.5,1.5,standard,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0
12065369,218267,Lane Hutson,MTL,D,Shots On Goal,1.5,1.5,standard,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0
12065371,92038,Mattias Samuelsson,BUF,D,Blocked Shots,1.5,,goblin,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12065379,267670,Noah Dobson,MTL,D,Blocked Shots,1.5,,goblin,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12065395,180709,Zach Benson,BUF,F,Shots On Goal,1.5,,goblin,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12067198,171835,Alex Newhook,MTL,F,Points,1.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12067199,218653,Alex Tuch,BUF,F,Points,1.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12067200,218266,Cole Caufield,MTL,F,Points,1.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12067201,235084,Ivan Demidov,MTL,F,Points,1.5,0.5,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,3.0
12067202,92751,Jack Quinn,BUF,F,Points,1.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12067203,268183,Josh Doan,BUF,F,Points,1.5,0.5,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,3.0
12067204,230933,Josh Norris,BUF,F,Points,1.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12067205,218237,Juraj Slafkovský,MTL,F,Points,1.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12067206,218267,Lane Hutson,MTL,D,Points,1.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12067207,218322,Nick Suzuki,MTL,F,Points,1.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12067209,218218,Rasmus Dahlin,BUF,D,Points,1.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12067210,218270,Tage Thompson,BUF,F,Points,1.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12067212,180709,Zach Benson,BUF,F,Points,1.5,0.5,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,3.0
12069659,218267,Lane Hutson,MTL,D,Assists,1.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12069663,218322,Nick Suzuki,MTL,F,Assists,1.5,0.5,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,3.0
12069670,218218,Rasmus Dahlin,BUF,D,Assists,1.5,0.5,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,3.0
12069674,218270,Tage Thompson,BUF,F,Assists,1.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12074868,192709,Bowen Byram,BUF,D,Points,1.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12074869,175663,Peyton Krebs,BUF,F,Points,1.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076671,218653,Alex Tuch,BUF,F,Shots On Goal,1.5,2.5,goblin,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,0.6
12076672,267913,Alexandre Carrier,MTL,D,Blocked Shots,1.5,,goblin,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076695,92751,Jack Quinn,BUF,F,Shots On Goal,1.5,,goblin,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076713,268183,Josh Doan,BUF,F,Shots On Goal,1.5,,goblin,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076723,218237,Juraj Slafkovský,MTL,F,Shots On Goal,1.5,2.5,goblin,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,0.6
12076729,218353,Mike Matheson,MTL,D,Blocked Shots,1.5,,goblin,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076739,218322,Nick Suzuki,MTL,F,Shots On Goal,1.5,,goblin,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076747,218218,Rasmus Dahlin,BUF,D,Shots On Goal,1.5,2.5,goblin,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,0.6
12079597,218322,Nick Suzuki,MTL,F,Power Play Points,1.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12083932,171835,Alex Newhook,MTL,F,Shots On Goal,1.5,,goblin,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12084229,267670,Noah Dobson,MTL,D,Shots On Goal,1.5,,goblin,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12061138,171835,Alex Newhook,MTL,F,Goals,0.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12061139,218653,Alex Tuch,BUF,F,Goals,0.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12061140,282765,Alexandre Texier,MTL,F,Goals,0.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12061141,218294,Beck Malenstyn,BUF,F,Goals,0.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12061142,192709,Bowen Byram,BUF,D,Goals,0.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12061143,218266,Cole Caufield,MTL,F,Goals,0.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12061145,235084,Ivan Demidov,MTL,F,Goals,0.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12061146,92751,Jack Quinn,BUF,F,Goals,0.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12061147,88751,Jake Evans,MTL,F,Goals,0.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12061148,220168,Jason Zucker,BUF,F,Goals,0.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12061149,173646,Jordan Greenway,BUF,F,Goals,0.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12061150,59156,Josh Anderson,MTL,F,Goals,0.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12061151,268183,Josh Doan,BUF,F,Goals,0.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12061152,230933,Josh Norris,BUF,F,Goals,0.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12061153,218237,Juraj Slafkovský,MTL,F,Goals,0.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12061154,218366,Kirby Dach,MTL,F,Goals,0.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12061155,294701,Konsta Helenius,BUF,F,Goals,0.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12061156,218267,Lane Hutson,MTL,D,Goals,0.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12061157,92038,Mattias Samuelsson,BUF,D,Goals,0.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12061158,218322,Nick Suzuki,MTL,F,Goals,0.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12061159,267670,Noah Dobson,MTL,D,Goals,0.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12061160,92131,Owen Power,BUF,D,Goals,0.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
