wnba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,id_status,player_1,player_2,team_1,team_2,is_combo_player
237847,11717379,11717379,237847,150439,2026-05-08T19:30:00.000-04:00,,,Breanna Stewart,F,NYL,,0.5,Double-Double,doubledouble,Demon,,1,https://static.prizepicks.com/images/players/NBA/Breanna_Stewart_WNBA_player_0QbcmrMWR4KgqkSDi1fYPEeZ.webp,OK,,,,,0
237848,11717392,11717392,237848,150439,2026-05-08T19:30:00.000-04:00,,,Sabrina Ionescu,G,NYL,,0.5,Double-Double,doubledouble,Demon,,1,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,OK,,,,,0
237835,11717419,11717419,237835,150721,2026-05-09T13:00:00.000-04:00,,,Arike Ogunbowale,G,DAL,IND,29.5,Pts+Asts,pa,Demon,,2,https://static.prizepicks.com/images/players/NBA/Arike_Ogunbowale_WNBA_player_li5EkQnXby20K9Lhu8gX4Ygc.webp,OK,,,,,0
237852,11807003,11807003,237852,150721,2026-05-09T13:00:00.000-04:00,,,Kelsey Mitchell,G,IND,DAL,29.5,Points,pts,Demon,13.5,2,https://static.prizepicks.com/images/players/NBA/Kelsey_Mitchell_WNBA_player_EIjpvNmrTSUtZ3DS46UvarB1.webp,OK,,,,,0
237835,11717416,11717416,237835,150721,2026-05-09T13:00:00.000-04:00,,,Arike Ogunbowale,G,DAL,IND,24.5,Points,pts,Demon,,2,https://static.prizepicks.com/images/players/NBA/Arike_Ogunbowale_WNBA_player_li5EkQnXby20K9Lhu8gX4Ygc.webp,OK,,,,,0
237835,11717418,11717418,237835,150721,2026-05-09T13:00:00.000-04:00,,,Arike Ogunbowale,G,DAL,IND,24.5,Pts+Asts,pa,Demon,,1,https://static.prizepicks.com/images/players/NBA/Arike_Ogunbowale_WNBA_player_li5EkQnXby20K9Lhu8gX4Ygc.webp,OK,,,,,0
237851,11717434,11717434,237851,150721,2026-05-09T13:00:00.000-04:00,,,Caitlin Clark,G,IND,DAL,24.5,Points,pts,Demon,12.5,1,https://static.prizepicks.com/images/players/NBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,OK,,,,,0
237852,11717445,11717445,237852,150721,2026-05-09T13:00:00.000-04:00,,,Kelsey Mitchell,G,IND,DAL,24.5,Points,pts,Demon,13.5,1,https://static.prizepicks.com/images/players/NBA/Kelsey_Mitchell_WNBA_player_EIjpvNmrTSUtZ3DS46UvarB1.webp,OK,,,,,0
237836,11717462,11717462,237836,150721,2026-05-09T13:00:00.000-04:00,,,Paige Bueckers,G,DAL,IND,24.5,Points,pts,Demon,19.0,1,https://static.prizepicks.com/images/players/NBA/Paige_Bueckers_WNBA_player_9Y8nnqPB9PRhUk1Zb4Mlsb5c.webp,OK,,,,,0
237852,11717446,11717446,237852,150721,2026-05-09T13:00:00.000-04:00,,,Kelsey Mitchell,G,IND,DAL,20.5,Points,pts,Standard,13.5,0,https://static.prizepicks.com/images/players/NBA/Kelsey_Mitchell_WNBA_player_EIjpvNmrTSUtZ3DS46UvarB1.webp,OK,,,,,0
237853,11717402,11717402,237853,150721,2026-05-09T13:00:00.000-04:00,,,Aliyah Boston,C-F,IND,DAL,19.5,Points,pts,Demon,15.0,1,https://static.prizepicks.com/images/players/NBA/Aliyah_Boston_WNBA_player_G6uHubog9X1bQPpQo9lPzFr9.webp,OK,,,,,0
237835,11717415,11717415,237835,150721,2026-05-09T13:00:00.000-04:00,,,Arike Ogunbowale,G,DAL,IND,19.5,Points,pts,Demon,,1,https://static.prizepicks.com/images/players/NBA/Arike_Ogunbowale_WNBA_player_li5EkQnXby20K9Lhu8gX4Ygc.webp,OK,,,,,0
237835,11717417,11717417,237835,150721,2026-05-09T13:00:00.000-04:00,,,Arike Ogunbowale,G,DAL,IND,19.5,Pts+Asts,pa,Goblin,,1,https://static.prizepicks.com/images/players/NBA/Arike_Ogunbowale_WNBA_player_li5EkQnXby20K9Lhu8gX4Ygc.webp,OK,,,,,0
315762,11717424,11717424,315762,150721,2026-05-09T13:00:00.000-04:00,,,Azzi Fudd,G,DAL,IND,19.5,Points,pts,Demon,12.5,3,https://static.prizepicks.com/images/manual/Azzi.png,OK,,,,,0
198928,11717452,11717452,198928,150721,2026-05-09T13:00:00.000-04:00,,,Maddy Siegrist,F,DAL,IND,19.5,Points,pts,Demon,,3,https://static.prizepicks.com/images/players/NBA/Maddy_Siegrist_WNBA_player_PvhKfiewQCBz5r4ey5IRM2wR.webp,OK,,,,,0
237851,11717435,11717435,237851,150721,2026-05-09T13:00:00.000-04:00,,,Caitlin Clark,G,IND,DAL,19.0,Points,pts,Standard,12.5,0,https://static.prizepicks.com/images/players/NBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,OK,,,,,0
237836,11717463,11717463,237836,150721,2026-05-09T13:00:00.000-04:00,,,Paige Bueckers,G,DAL,IND,19.0,Points,pts,Standard,19.0,0,https://static.prizepicks.com/images/players/NBA/Paige_Bueckers_WNBA_player_9Y8nnqPB9PRhUk1Zb4Mlsb5c.webp,OK,,,,,0
315762,11717422,11717422,315762,150721,2026-05-09T13:00:00.000-04:00,,,Azzi Fudd,G,DAL,IND,17.5,Points,pts,Demon,12.5,2,https://static.prizepicks.com/images/manual/Azzi.png,OK,,,,,0
237851,11717433,11717433,237851,150721,2026-05-09T13:00:00.000-04:00,,,Caitlin Clark,G,IND,DAL,17.5,Points,pts,Goblin,12.5,1,https://static.prizepicks.com/images/players/NBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,OK,,,,,0
198928,11717451,11717451,198928,150721,2026-05-09T13:00:00.000-04:00,,,Maddy Siegrist,F,DAL,IND,17.5,Points,pts,Demon,,2,https://static.prizepicks.com/images/players/NBA/Maddy_Siegrist_WNBA_player_PvhKfiewQCBz5r4ey5IRM2wR.webp,OK,,,,,0
237853,11717403,11717403,237853,150721,2026-05-09T13:00:00.000-04:00,,,Aliyah Boston,C-F,IND,DAL,15.0,Points,pts,Standard,15.0,0,https://static.prizepicks.com/images/players/NBA/Aliyah_Boston_WNBA_player_G6uHubog9X1bQPpQo9lPzFr9.webp,OK,,,,,0
237835,11717414,11717414,237835,150721,2026-05-09T13:00:00.000-04:00,,,Arike Ogunbowale,G,DAL,IND,14.5,Points,pts,Goblin,,1,https://static.prizepicks.com/images/players/NBA/Arike_Ogunbowale_WNBA_player_li5EkQnXby20K9Lhu8gX4Ygc.webp,OK,,,,,0
315762,11717423,11717423,315762,150721,2026-05-09T13:00:00.000-04:00,,,Azzi Fudd,G,DAL,IND,14.5,Points,pts,Demon,12.5,1,https://static.prizepicks.com/images/manual/Azzi.png,OK,,,,,0
237851,11717432,11717432,237851,150721,2026-05-09T13:00:00.000-04:00,,,Caitlin Clark,G,IND,DAL,14.5,Points,pts,Goblin,12.5,2,https://static.prizepicks.com/images/players/NBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,OK,,,,,0
198928,11717450,11717450,198928,150721,2026-05-09T13:00:00.000-04:00,,,Maddy Siegrist,F,DAL,IND,14.5,Points,pts,Demon,,1,https://static.prizepicks.com/images/players/NBA/Maddy_Siegrist_WNBA_player_PvhKfiewQCBz5r4ey5IRM2wR.webp,OK,,,,,0
237836,11717461,11717461,237836,150721,2026-05-09T13:00:00.000-04:00,,,Paige Bueckers,G,DAL,IND,14.5,Points,pts,Goblin,19.0,1,https://static.prizepicks.com/images/players/NBA/Paige_Bueckers_WNBA_player_9Y8nnqPB9PRhUk1Zb4Mlsb5c.webp,OK,,,,,0
315762,11717425,11717425,315762,150721,2026-05-09T13:00:00.000-04:00,,,Azzi Fudd,G,DAL,IND,12.5,Points,pts,Standard,12.5,0,https://static.prizepicks.com/images/manual/Azzi.png,OK,,,,,0
237853,11717406,11717406,237853,150721,2026-05-09T13:00:00.000-04:00,,,Aliyah Boston,C-F,IND,DAL,11.5,Rebounds,reb,Demon,,2,https://static.prizepicks.com/images/players/NBA/Aliyah_Boston_WNBA_player_G6uHubog9X1bQPpQo9lPzFr9.webp,OK,,,,,0
315762,11717421,11717421,315762,150721,2026-05-09T13:00:00.000-04:00,,,Azzi Fudd,G,DAL,IND,11.5,Points,pts,Goblin,12.5,1,https://static.prizepicks.com/images/manual/Azzi.png,OK,,,,,0
