wnba_player_id,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,image_url,game_date,id_status,player_1,player_2,team_1,team_2,TEAM_NAME,TEAM_ID,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,is_combo_player,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,unsupported_prop,unsupported_reason,espn_athlete_id,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,min_player_avg,fga_player_avg,pts_player_avg,minutes_tier,shot_role,usage_role,game_total,spread
237847,Breanna Stewart,F,NYL,,5.5,Assists,ast,Demon,11717378,11717378,237847,150439,2026-05-08T19:30:00.000-04:00,,,,2,https://static.prizepicks.com/images/players/NBA/Breanna_Stewart_WNBA_player_0QbcmrMWR4KgqkSDi1fYPEeZ.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:ast,2998928.0,UNSUPPORTED_PROP,,,,,,,,5.5,5.5,UNKNOWN,LOW_VOL,SUPPORT,,
237847,Breanna Stewart,F,NYL,,5.5,Rebounds,reb,Goblin,11717383,11717383,237847,150439,2026-05-08T19:30:00.000-04:00,,,,1,https://static.prizepicks.com/images/players/NBA/Breanna_Stewart_WNBA_player_0QbcmrMWR4KgqkSDi1fYPEeZ.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:reb,2998928.0,UNSUPPORTED_PROP,,,,,,,,5.5,5.5,UNKNOWN,LOW_VOL,SUPPORT,,
237848,Sabrina Ionescu,G,NYL,,5.5,Assists,ast,Goblin,11717389,11717389,237848,150439,2026-05-08T19:30:00.000-04:00,,,3.5,1,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:ast,4066533.0,UNSUPPORTED_PROP,,,,,,,,5.5,5.5,UNKNOWN,LOW_VOL,SUPPORT,,
237848,Sabrina Ionescu,G,NYL,,5.5,Rebounds,reb,Demon,11717397,11717397,237848,150439,2026-05-08T19:30:00.000-04:00,,,,2,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:reb,4066533.0,UNSUPPORTED_PROP,,,,,,,,5.5,5.5,UNKNOWN,LOW_VOL,SUPPORT,,
237847,Breanna Stewart,F,NYL,,3.5,Assists,ast,Demon,11717377,11717377,237847,150439,2026-05-08T19:30:00.000-04:00,,,,1,https://static.prizepicks.com/images/players/NBA/Breanna_Stewart_WNBA_player_0QbcmrMWR4KgqkSDi1fYPEeZ.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:ast,2998928.0,UNSUPPORTED_PROP,,,,,,,,3.5,3.5,UNKNOWN,LOW_VOL,SUPPORT,,
237848,Sabrina Ionescu,G,NYL,,3.5,3-PT Made,3ptmade,Demon,11717387,11717387,237848,150439,2026-05-08T19:30:00.000-04:00,,,1.5,2,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:3ptmade,4066533.0,UNSUPPORTED_PROP,,,,,,,,3.5,3.5,UNKNOWN,LOW_VOL,SUPPORT,,
237848,Sabrina Ionescu,G,NYL,,3.5,Rebounds,reb,Goblin,11717396,11717396,237848,150439,2026-05-08T19:30:00.000-04:00,,,,1,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:reb,4066533.0,UNSUPPORTED_PROP,,,,,,,,3.5,3.5,UNKNOWN,LOW_VOL,SUPPORT,,
237848,Sabrina Ionescu,G,NYL,,2.5,3-PT Made,3ptmade,Demon,11717388,11717388,237848,150439,2026-05-08T19:30:00.000-04:00,,,1.5,1,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:3ptmade,4066533.0,UNSUPPORTED_PROP,,,,,,,,2.5,2.5,UNKNOWN,LOW_VOL,SUPPORT,,
237848,Sabrina Ionescu,G,NYL,,1.5,3-PT Made,3ptmade,Goblin,11717386,11717386,237848,150439,2026-05-08T19:30:00.000-04:00,,,1.5,1,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:3ptmade,4066533.0,UNSUPPORTED_PROP,,,,,,,,1.5,1.5,UNKNOWN,LOW_VOL,SUPPORT,,
237847,Breanna Stewart,F,NYL,,0.5,Double-Double,doubledouble,Demon,11717379,11717379,237847,150439,2026-05-08T19:30:00.000-04:00,,,,1,https://static.prizepicks.com/images/players/NBA/Breanna_Stewart_WNBA_player_0QbcmrMWR4KgqkSDi1fYPEeZ.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:doubledouble,2998928.0,UNSUPPORTED_PROP,,,,,,,,0.5,0.5,UNKNOWN,LOW_VOL,SUPPORT,,
