projection_id,pp_projection_id,player_id,pp_game_id,start_time,player,image_url,pos,team,opp_team,pp_home_team,pp_away_team,prop_type,line,pick_type
11717402,11717402,237853,150721,2026-05-09T13:00:00.000-04:00,Aliyah Boston,https://static.prizepicks.com/images/players/NBA/Aliyah_Boston_WNBA_player_G6uHubog9X1bQPpQo9lPzFr9.webp,C-F,IND,,,,Points,19.5,Demon
11717415,11717415,237835,150721,2026-05-09T13:00:00.000-04:00,Arike Ogunbowale,https://static.prizepicks.com/images/players/NBA/Arike_Ogunbowale_WNBA_player_li5EkQnXby20K9Lhu8gX4Ygc.webp,G,DAL,,,,Points,19.5,Demon
11717417,11717417,237835,150721,2026-05-09T13:00:00.000-04:00,Arike Ogunbowale,https://static.prizepicks.com/images/players/NBA/Arike_Ogunbowale_WNBA_player_li5EkQnXby20K9Lhu8gX4Ygc.webp,G,DAL,,,,Pts+Asts,19.5,Goblin
11717424,11717424,315762,150721,2026-05-09T13:00:00.000-04:00,Azzi Fudd,https://static.prizepicks.com/images/manual/Azzi.png,G,DAL,,,,Points,19.5,Demon
11717452,11717452,198928,150721,2026-05-09T13:00:00.000-04:00,Maddy Siegrist,https://static.prizepicks.com/images/players/NBA/Maddy_Siegrist_WNBA_player_PvhKfiewQCBz5r4ey5IRM2wR.webp,F,DAL,,,,Points,19.5,Demon
11717435,11717435,237851,150721,2026-05-09T13:00:00.000-04:00,Caitlin Clark,https://static.prizepicks.com/images/players/NBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,G,IND,,,,Points,19.0,Standard
11717463,11717463,237836,150721,2026-05-09T13:00:00.000-04:00,Paige Bueckers,https://static.prizepicks.com/images/players/NBA/Paige_Bueckers_WNBA_player_9Y8nnqPB9PRhUk1Zb4Mlsb5c.webp,G,DAL,,,,Points,19.0,Standard
11717422,11717422,315762,150721,2026-05-09T13:00:00.000-04:00,Azzi Fudd,https://static.prizepicks.com/images/manual/Azzi.png,G,DAL,,,,Points,17.5,Demon
11717433,11717433,237851,150721,2026-05-09T13:00:00.000-04:00,Caitlin Clark,https://static.prizepicks.com/images/players/NBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,G,IND,,,,Points,17.5,Goblin
11717451,11717451,198928,150721,2026-05-09T13:00:00.000-04:00,Maddy Siegrist,https://static.prizepicks.com/images/players/NBA/Maddy_Siegrist_WNBA_player_PvhKfiewQCBz5r4ey5IRM2wR.webp,F,DAL,,,,Points,17.5,Demon
11717403,11717403,237853,150721,2026-05-09T13:00:00.000-04:00,Aliyah Boston,https://static.prizepicks.com/images/players/NBA/Aliyah_Boston_WNBA_player_G6uHubog9X1bQPpQo9lPzFr9.webp,C-F,IND,,,,Points,15.0,Standard
11717414,11717414,237835,150721,2026-05-09T13:00:00.000-04:00,Arike Ogunbowale,https://static.prizepicks.com/images/players/NBA/Arike_Ogunbowale_WNBA_player_li5EkQnXby20K9Lhu8gX4Ygc.webp,G,DAL,,,,Points,14.5,Goblin
11717423,11717423,315762,150721,2026-05-09T13:00:00.000-04:00,Azzi Fudd,https://static.prizepicks.com/images/manual/Azzi.png,G,DAL,,,,Points,14.5,Demon
11717432,11717432,237851,150721,2026-05-09T13:00:00.000-04:00,Caitlin Clark,https://static.prizepicks.com/images/players/NBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,G,IND,,,,Points,14.5,Goblin
11717450,11717450,198928,150721,2026-05-09T13:00:00.000-04:00,Maddy Siegrist,https://static.prizepicks.com/images/players/NBA/Maddy_Siegrist_WNBA_player_PvhKfiewQCBz5r4ey5IRM2wR.webp,F,DAL,,,,Points,14.5,Demon
11717461,11717461,237836,150721,2026-05-09T13:00:00.000-04:00,Paige Bueckers,https://static.prizepicks.com/images/players/NBA/Paige_Bueckers_WNBA_player_9Y8nnqPB9PRhUk1Zb4Mlsb5c.webp,G,DAL,,,,Points,14.5,Goblin
11717425,11717425,315762,150721,2026-05-09T13:00:00.000-04:00,Azzi Fudd,https://static.prizepicks.com/images/manual/Azzi.png,G,DAL,,,,Points,12.5,Standard
11717406,11717406,237853,150721,2026-05-09T13:00:00.000-04:00,Aliyah Boston,https://static.prizepicks.com/images/players/NBA/Aliyah_Boston_WNBA_player_G6uHubog9X1bQPpQo9lPzFr9.webp,C-F,IND,,,,Rebounds,11.5,Demon
11717421,11717421,315762,150721,2026-05-09T13:00:00.000-04:00,Azzi Fudd,https://static.prizepicks.com/images/manual/Azzi.png,G,DAL,,,,Points,11.5,Goblin
11717430,11717430,237851,150721,2026-05-09T13:00:00.000-04:00,Caitlin Clark,https://static.prizepicks.com/images/players/NBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,G,IND,,,,Assists,11.5,Demon
11717449,11717449,198928,150721,2026-05-09T13:00:00.000-04:00,Maddy Siegrist,https://static.prizepicks.com/images/players/NBA/Maddy_Siegrist_WNBA_player_PvhKfiewQCBz5r4ey5IRM2wR.webp,F,DAL,,,,Points,11.5,Goblin
11717405,11717405,237853,150721,2026-05-09T13:00:00.000-04:00,Aliyah Boston,https://static.prizepicks.com/images/players/NBA/Aliyah_Boston_WNBA_player_G6uHubog9X1bQPpQo9lPzFr9.webp,C-F,IND,,,,Rebounds,9.5,Demon
11717420,11717420,315762,150721,2026-05-09T13:00:00.000-04:00,Azzi Fudd,https://static.prizepicks.com/images/manual/Azzi.png,G,DAL,,,,Points,9.5,Goblin
11717431,11717431,237851,150721,2026-05-09T13:00:00.000-04:00,Caitlin Clark,https://static.prizepicks.com/images/players/NBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,G,IND,,,,Assists,9.5,Demon
11717447,11717447,198928,150721,2026-05-09T13:00:00.000-04:00,Maddy Siegrist,https://static.prizepicks.com/images/players/NBA/Maddy_Siegrist_WNBA_player_PvhKfiewQCBz5r4ey5IRM2wR.webp,F,DAL,,,,Points,9.5,Goblin
11717440,11717440,237851,150721,2026-05-09T13:00:00.000-04:00,Caitlin Clark,https://static.prizepicks.com/images/players/NBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,G,IND,,,,Rebounds,8.5,Demon
11717460,11717460,237836,150721,2026-05-09T13:00:00.000-04:00,Paige Bueckers,https://static.prizepicks.com/images/players/NBA/Paige_Bueckers_WNBA_player_9Y8nnqPB9PRhUk1Zb4Mlsb5c.webp,G,DAL,,,,Assists,8.5,Demon
11717404,11717404,237853,150721,2026-05-09T13:00:00.000-04:00,Aliyah Boston,https://static.prizepicks.com/images/players/NBA/Aliyah_Boston_WNBA_player_G6uHubog9X1bQPpQo9lPzFr9.webp,C-F,IND,,,,Rebounds,7.5,Goblin
11717413,11717413,237835,150721,2026-05-09T13:00:00.000-04:00,Arike Ogunbowale,https://static.prizepicks.com/images/players/NBA/Arike_Ogunbowale_WNBA_player_li5EkQnXby20K9Lhu8gX4Ygc.webp,G,DAL,,,,Assists,7.5,Demon
11717429,11717429,237851,150721,2026-05-09T13:00:00.000-04:00,Caitlin Clark,https://static.prizepicks.com/images/players/NBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,G,IND,,,,Assists,7.5,Goblin
11717439,11717439,237851,150721,2026-05-09T13:00:00.000-04:00,Caitlin Clark,https://static.prizepicks.com/images/players/NBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,G,IND,,,,Rebounds,7.5,Demon
