espn_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,league,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,game_date,player_1,player_2,team_1,team_2,id_status,is_combo_player
330552,12011339,12011339,213780,151607,2026-05-14T13:00:00.000-04:00,,,César Tárrega,Defender,VALENCIA,,SOCCER,0.5,Shots On Target,shots_on_target,Demon,,1,https://static.prizepicks.com/images/manual/César Tárrega.png,2026-05-14,,,,,OK,0
253763,12011340,12011340,252399,151607,2026-05-14T13:00:00.000-04:00,,,Dani Raba,Attacker,VALENCIA,,SOCCER,0.5,Assists,assists,Demon,,1,https://static.prizepicks.com/images/manual/Daniel Raba Antolín.png,2026-05-14,,,,,OK,0
253763,12011342,12011342,252399,151607,2026-05-14T13:00:00.000-04:00,,,Dani Raba,Attacker,VALENCIA,,SOCCER,0.5,Goal + Assist,goal_assist,Demon,,1,https://static.prizepicks.com/images/manual/Daniel Raba Antolín.png,2026-05-14,,,,,OK,0
253763,12011343,12011343,252399,151607,2026-05-14T13:00:00.000-04:00,,,Dani Raba,Attacker,VALENCIA,,SOCCER,0.5,Goals,goals,Demon,,1,https://static.prizepicks.com/images/manual/Daniel Raba Antolín.png,2026-05-14,,,,,OK,0
377768,12011346,12011346,254115,151607,2026-05-14T13:00:00.000-04:00,,,David Otorbi,Attacker,VALENCIA,,SOCCER,0.5,Goals,goals,Demon,,1,https://static.prizepicks.com/images/manual/David Otorbi Ejedewawe.png,2026-05-14,,,,,OK,0
200277,12011347,12011347,148455,151607,2026-05-14T13:00:00.000-04:00,,,Diego López,Attacker,VALENCIA,,SOCCER,0.5,Assists,assists,Demon,,1,https://static.prizepicks.com/images/players/soccer/4j3u6v01emo9nsel7uw00qsfe.webp,2026-05-14,,,,,OK,0
200277,12011349,12011349,148455,151607,2026-05-14T13:00:00.000-04:00,,,Diego López,Attacker,VALENCIA,,SOCCER,0.5,Goal + Assist,goal_assist,Demon,,1,https://static.prizepicks.com/images/players/soccer/4j3u6v01emo9nsel7uw00qsfe.webp,2026-05-14,,,,,OK,0
200277,12011351,12011351,148455,151607,2026-05-14T13:00:00.000-04:00,,,Diego López,Attacker,VALENCIA,,SOCCER,0.5,Goals,goals,Demon,,1,https://static.prizepicks.com/images/players/soccer/4j3u6v01emo9nsel7uw00qsfe.webp,2026-05-14,,,,,OK,0
286604,12011353,12011353,148460,151607,2026-05-14T13:00:00.000-04:00,,,André Almeida,Midfielder,VALENCIA,,SOCCER,0.5,Assists,assists,Demon,,1,https://static.prizepicks.com/images/players/soccer/9dc4qkvh0vk5kwymibji00kp.webp,2026-05-14,,,,,OK,0
286604,12011354,12011354,148460,151607,2026-05-14T13:00:00.000-04:00,,,André Almeida,Midfielder,VALENCIA,,SOCCER,0.5,Goal + Assist,goal_assist,Demon,,1,https://static.prizepicks.com/images/players/soccer/9dc4qkvh0vk5kwymibji00kp.webp,2026-05-14,,,,,OK,0
