projection_id,pp_projection_id,player_id,pp_game_id,league,start_time,player,image_url,pos,team,opp_team,pp_home_team,pp_away_team,prop_type,line,standard_line,pick_type,game_date
12043730,12043730,148611,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Mikel Oyarzabal,https://static.prizepicks.com/images/players/soccer/b45ryclny991bm7qosieyg1cl.webp,Attacker,REAL SOCIEDAD,,,,Shots,1.5,,Goblin,2026-05-14
12043731,12043731,148611,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Mikel Oyarzabal,https://static.prizepicks.com/images/players/soccer/b45ryclny991bm7qosieyg1cl.webp,Attacker,REAL SOCIEDAD,,,,Tackles,1.5,,Demon,2026-05-14
12043737,12043737,194262,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Pablo Marín,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/soc/low-res/90050536.png,Midfielder,REAL SOCIEDAD,,,,Shots On Target,1.5,,Demon,2026-05-14
12043741,12043741,148633,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Paulo Gazzaniga,https://static.prizepicks.com/images/players/soccer/eavhyxb9dfjh0jp5yzg8p8udx.webp,Goalkeeper,GIRONA,,,,Goalie Saves,1.5,,Goblin,2026-05-14
12043746,12043746,301864,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Rubén Blanco,https://static.prizepicks.com/images/manual/Ruben_Blanco.png,Goalkeeper,GIRONA,,,,Goalie Saves,1.5,,Goblin,2026-05-14
12043749,12043749,210606,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Sergio Gómez,https://static.prizepicks.com/images/players/soccer/d4tdx2ctadv6kc3tbq4as8bmx.webp,Attacker,REAL SOCIEDAD,,,,Shots,1.5,,Demon,2026-05-14
12043751,12043751,148612,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Takefusa Kubo,https://static.prizepicks.com/images/players/soccer/1qkep5ck252k1g3oqza5ygh61.webp,Attacker,REAL SOCIEDAD,,,,Fouls,1.5,,Demon,2026-05-14
12043754,12043754,148612,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Takefusa Kubo,https://static.prizepicks.com/images/players/soccer/1qkep5ck252k1g3oqza5ygh61.webp,Attacker,REAL SOCIEDAD,,,,Tackles,1.5,,Demon,2026-05-14
12043759,12043759,252177,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Thomas Lemar,https://static.prizepicks.com/images/manual/Thomas_Benoît_Lemar.png,Midfielder,GIRONA,,,,Shots On Target,1.5,,Demon,2026-05-14
12043761,12043761,286841,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Tomás Carbonell,https://static.prizepicks.com/images/manual/Tomy_Carbonell.png,Midfielder,REAL SOCIEDAD,,,,Shots,1.5,,Demon,2026-05-14
12043770,12043770,148623,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Viktor Tsygankov,https://static.prizepicks.com/images/players/soccer/3auwtiburdxrp2i5me2d97f11.webp,Attacker,GIRONA,,,,Fouls,1.5,,Demon,2026-05-14
12043773,12043773,148623,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Viktor Tsygankov,https://static.prizepicks.com/images/players/soccer/3auwtiburdxrp2i5me2d97f11.webp,Attacker,GIRONA,,,,Shots,1.5,,Goblin,2026-05-14
12043774,12043774,148623,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Viktor Tsygankov,https://static.prizepicks.com/images/players/soccer/3auwtiburdxrp2i5me2d97f11.webp,Attacker,GIRONA,,,,Tackles,1.5,,Demon,2026-05-14
12043779,12043779,297984,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Wesley,https://static.prizepicks.com/images/manual/Real Sociedad - Wesley.png,Attacker,REAL SOCIEDAD,,,,Fouls,1.5,,Demon,2026-05-14
12043783,12043783,297984,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Wesley,https://static.prizepicks.com/images/manual/Real Sociedad - Wesley.png,Attacker,REAL SOCIEDAD,,,,Shots On Target,1.5,,Demon,2026-05-14
12043784,12043784,297984,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Wesley,https://static.prizepicks.com/images/manual/Real Sociedad - Wesley.png,Attacker,REAL SOCIEDAD,,,,Tackles,1.5,,Demon,2026-05-14
12043785,12043785,263205,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Yangel Herrera,https://static.prizepicks.com/images/manual/Yangel Herrera.png,Midfielder,REAL SOCIEDAD,,,,Shots,1.5,,Demon,2026-05-14
12044925,12044925,174854,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Aritz Elustondo,https://static.prizepicks.com/images/players/soccer/e35v2pspdgl7t769d57e67ob9.webp,Defender,REAL SOCIEDAD,,,,Shots,1.5,,Demon,2026-05-14
12044927,12044927,261705,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Carlos Soler,https://static.prizepicks.com/images/manual/Carlos Soler Barragán.png,Midfielder,REAL SOCIEDAD,,,,Shots,1.5,,Demon,2026-05-14
12044931,12044931,252179,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Vitor Reis,https://static.prizepicks.com/images/players/soccer/bh4p6egq7e7htivuu0qdjqiac.webp,Defender,GIRONA,,,,Shots,1.5,,Demon,2026-05-14
12057713,12057713,252400,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Duje Caleta-Car,https://static.prizepicks.com/images/manual/Duje Ćaleta-Car.png,Defender,REAL SOCIEDAD,,,,Shots,1.5,,Demon,2026-05-14
