nba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,is_combo_player,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,ESPN_ATHLETE_ID,data_source,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,min_last5_avg
1626164,11134029,11134029,55176,141627,2026-04-05T15:30:00.000-04:00,,,Devin Booker,G,PHX,CHI,13.5,Points,pts,Standard,13.5,0,https://static.prizepicks.com/images/players/NBA/Devin_Booker_NBA_player_hFxfQ4HSfTF5eG5yhA81zf4O.webp,,,,,OK,0,121.6,93.8,44.9,38.2,14.1,22.9,12.6,55.599999999999994,30.799999999999997,61.599999999999994,28,25,21,29,30,28,27,27,11,27,26.591397849462364,28,Weak,3136193,nba1h_db,17,14,23,14,6,11,5,7,,,14.8,12.125,12.125,4,1,0,0.8,0.8,0.2,0.5,0.5,OK,
1630224,11134041,11134041,274094,141627,2026-04-05T15:30:00.000-04:00,,,Jalen Green,G,PHX,CHI,13.5,Pts+Rebs+Asts,pra,Standard,13.5,0,https://static.prizepicks.com/images/players/NBA/Jalen_Green_NBA_player_dgDzs8capbSfm3XqiXDKFCSw.webp,,,,,OK,0,121.6,93.8,44.9,38.2,14.1,22.9,12.6,55.599999999999994,30.799999999999997,61.599999999999994,28,25,21,29,30,28,27,27,11,27,26.591397849462364,28,Weak,4437244,nba1h_db,20,9,24,26,21,16,10,12,10,,20,16.444,16.444,4,1,0,0.8,0.8,0.2,0.556,0.444,OK,
1641824,11134396,11134396,221320,141627,2026-04-05T15:30:00.000-04:00,,,Matas Buzelis,F,CHI,PHX,13.5,Pts+Rebs+Asts,pra,Standard,13.5,0,https://static.prizepicks.com/images/players/NBA/Matas_Buzelis_NBA_player_XvNO17DQRNhYtRc2NCRX2D0O.webp,,,,,OK,0,111.3,85.3,40.2,35.0,12.1,23.9,16.4,50.3,28.1,56.2,6,2,5,3,6,8,10,10,18,3,6.924731182795698,6,Elite,4711294,nba1h_db,24,7,18,13,7,16,20,,,,13.8,15,15,2,3,0,0.4,0.4,0.6,0.571,0.429,OK,
1628415,11152188,11152188,271996,141627,2026-04-05T15:30:00.000-04:00,,,Dillon Brooks,G-F,PHX,CHI,13.5,Fantasy Score,fantasy,Standard,13.5,0,https://static.prizepicks.com/images/players/NBA/Dillon_Brooks_NBA_player_doYyaSQoRd6hmm42xjHs1oP.webp,,,,,OK,0,121.6,93.8,44.9,38.2,14.1,22.9,12.6,55.599999999999994,30.799999999999997,61.599999999999994,28,25,21,29,30,28,27,27,11,27,26.591397849462364,28,Weak,3155526,insufficient_1h_history,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
1628960,11152189,11152189,174044,141627,2026-04-05T15:30:00.000-04:00,,,Grayson Allen,G,PHX,CHI,13.5,Fantasy Score,fantasy,Standard,13.5,0,https://static.prizepicks.com/images/players/NBA/Grayson_Allen_NBA_player_CTbeVWZ4fJM2pm82EGD6VSZr.webp,,,,,OK,0,121.6,93.8,44.9,38.2,14.1,22.9,12.6,55.599999999999994,30.799999999999997,61.599999999999994,28,25,21,29,30,28,27,27,11,27,26.591397849462364,28,Weak,3135045,insufficient_1h_history,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
1630200,11134401,11134401,228975,141627,2026-04-05T15:30:00.000-04:00,,,Tre Jones,G,CHI,PHX,12.5,Pts+Rebs+Asts,pra,Standard,12.5,0,https://static.prizepicks.com/images/players/NBA/Tre_Jones_NBA_player_MKctZe7p9MBZTGzAv3GBDkxs.webp,,,,,OK,0,111.3,85.3,40.2,35.0,12.1,23.9,16.4,50.3,28.1,56.2,6,2,5,3,6,8,10,10,18,3,6.924731182795698,6,Elite,4395626,nba1h_db,15,13,13,15,12,13,,,,,13.6,13.5,13.5,4,1,0,0.8,0.8,0.2,0.833,0.167,OK,
1642345,11152197,11152197,221316,141627,2026-04-05T15:30:00.000-04:00,,,Oso Ighodaro,F,PHX,CHI,12.5,Fantasy Score,fantasy,Standard,12.5,0,https://static.prizepicks.com/images/players/NBA/Oso_Ighodaro_NBA_player_Y7mjfdEdLunH3s3W6Nhh3KnR.webp,,,,,OK,0,121.6,93.8,44.9,38.2,14.1,22.9,12.6,55.599999999999994,30.799999999999997,61.599999999999994,28,25,21,29,30,28,27,27,11,27,26.591397849462364,28,Weak,4601023,insufficient_1h_history,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
1631221,11152182,11152182,233632,141627,2026-04-05T15:30:00.000-04:00,,,Collin Gillespie,G,PHX,CHI,12.0,Fantasy Score,fantasy,Standard,12.0,0,https://static.prizepicks.com/images/players/NBA/Collin_Gillespie_NBA_player_eBBN9xn1WET1RpK0ZIDTCG1a.webp,,,,,OK,0,121.6,93.8,44.9,38.2,14.1,22.9,12.6,55.599999999999994,30.799999999999997,61.599999999999994,28,25,21,29,30,28,27,27,11,27,26.591397849462364,28,Weak,4278585,insufficient_1h_history,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
1628415,11134036,11134036,271996,141627,2026-04-05T15:30:00.000-04:00,,,Dillon Brooks,G-F,PHX,CHI,11.5,Pts+Rebs+Asts,pra,Standard,11.5,0,https://static.prizepicks.com/images/players/NBA/Dillon_Brooks_NBA_player_doYyaSQoRd6hmm42xjHs1oP.webp,,,,,OK,0,121.6,93.8,44.9,38.2,14.1,22.9,12.6,55.599999999999994,30.799999999999997,61.599999999999994,28,25,21,29,30,28,27,27,11,27,26.591397849462364,28,Weak,3155526,insufficient_1h_history,10,,,,,,,,,,10,10,10,0,1,0,0,0,1,0,1,INSUFFICIENT_GAMES,
1628960,11134384,11134384,174044,141627,2026-04-05T15:30:00.000-04:00,,,Grayson Allen,G,PHX,CHI,10.5,Pts+Rebs+Asts,pra,Standard,10.5,0,https://static.prizepicks.com/images/players/NBA/Grayson_Allen_NBA_player_CTbeVWZ4fJM2pm82EGD6VSZr.webp,,,,,OK,0,121.6,93.8,44.9,38.2,14.1,22.9,12.6,55.599999999999994,30.799999999999997,61.599999999999994,28,25,21,29,30,28,27,27,11,27,26.591397849462364,28,Weak,3135045,nba1h_db,5,15,15,,,,,,,,11.667,11.667,11.667,2,1,0,0.667,0.667,0.333,0.667,0.333,OK,
