mlb_player_id,player,pos,player_type,team,opp_team,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,player_name,image_url,line_score,sport,game_date,player_1,player_2,team_1,team_2,id_status,SP_ERA,WHIP,OBP_ALLOWED,ERA_RANK,WHIP_RANK,OBP_ALLOWED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,def_rank,def_tier,inningsPitched,gamesPlayed,is_combo_player
666182,Bo Bichette,IF,hitter,NYM,COL,2.5,Total Bases,total_bases,Demon,11861066,11861066,308572,155588,2026-05-04T17:40:00.000-04:00,,,,1,Bo Bichette,https://static.prizepicks.com/images/manual/Bo_Bichettee.png,2.5,MLB,2026-05-04,,,,,OK,4.28,1.38,0.332,18,19,20,18.76923076923077,19,Below Avg,18,Below Avg,290.1,33.0,0
683146,Brett Baty,IF,hitter,NYM,COL,2.5,Total Bases,total_bases,Demon,11861071,11861071,70968,155588,2026-05-04T17:40:00.000-04:00,,,,2,Brett Baty,https://static.prizepicks.com/images/players/MLB/Brett_Baty_MLB_player_E8WE9ctz5J0sZztyo7iaQWms-450.webp,2.5,MLB,2026-05-04,,,,,OK,4.28,1.38,0.332,18,19,20,18.76923076923077,19,Below Avg,18,Below Avg,290.1,33.0,0
701807,Carson Benge,OF,hitter,NYM,COL,2.5,Total Bases,total_bases,Demon,11861080,11861080,309858,155588,2026-05-04T17:40:00.000-04:00,,,,2,Carson Benge,https://static.prizepicks.com/images/manual/Carson Benge.png,2.5,MLB,2026-05-04,,,,,OK,4.28,1.38,0.332,18,19,20,18.76923076923077,19,Below Avg,18,Below Avg,290.1,33.0,0
682626,Francisco Alvarez,C,hitter,NYM,COL,2.5,Total Bases,total_bases,Demon,11861086,11861086,139591,155588,2026-05-04T17:40:00.000-04:00,,,1.5,1,Francisco Alvarez,https://static.prizepicks.com/images/players/MLB/Francisco_Alvarez_MLB_player_4iF3hh29HItUz8Pc5WKHnrjq-450.webp,2.5,MLB,2026-05-04,,,,,OK,4.28,1.38,0.332,18,19,20,18.76923076923077,19,Below Avg,18,Below Avg,290.1,33.0,0
665742,Juan Soto,OF,hitter,NYM,COL,2.5,Total Bases,total_bases,Demon,11861091,11861091,233196,155588,2026-05-04T17:40:00.000-04:00,,,1.5,1,Juan Soto,https://static.prizepicks.com/images/players/MLB/Juan_Soto_MLB_player_FXP0NspqHu0dMj9xxOpE0gA0-450.webp,2.5,MLB,2026-05-04,,,,,OK,4.28,1.38,0.332,18,19,20,18.76923076923077,19,Below Avg,18,Below Avg,290.1,33.0,0
669004,MJ Melendez,OF,hitter,NYM,COL,2.5,Total Bases,total_bases,Demon,11861096,11861096,314048,155588,2026-05-04T17:40:00.000-04:00,,,,2,MJ Melendez,https://static.prizepicks.com/images/players/MLB/Mervyl_Melendez_MLB_player_dEwwaraWW9hBmqbiEErVTPMg-450.webp,2.5,MLB,2026-05-04,,,,,OK,4.28,1.38,0.332,18,19,20,18.76923076923077,19,Below Avg,18,Below Avg,290.1,33.0,0
543760,Marcus Semien,IF,hitter,NYM,COL,2.5,Total Bases,total_bases,Demon,11861101,11861101,308577,155588,2026-05-04T17:40:00.000-04:00,,,1.5,1,Marcus Semien,https://static.prizepicks.com/images/manual/Marcus_Semien-.png,2.5,MLB,2026-05-04,,,,,OK,4.28,1.38,0.332,18,19,20,18.76923076923077,19,Below Avg,18,Below Avg,290.1,33.0,0
668901,Mark Vientos,IF,hitter,NYM,COL,2.5,Total Bases,total_bases,Demon,11861106,11861106,78172,155588,2026-05-04T17:40:00.000-04:00,,,,2,Mark Vientos,https://static.prizepicks.com/images/players/MLB/Mark_Vientos_MLB_player_KXnnRgIjp5F5BePieMPo7dCc-450.webp,2.5,MLB,2026-05-04,,,,,OK,4.28,1.38,0.332,18,19,20,18.76923076923077,19,Below Avg,18,Below Avg,290.1,33.0,0
621438,Tyrone Taylor,OF,hitter,NYM,COL,2.5,Total Bases,total_bases,Demon,11861111,11861111,193639,155588,2026-05-04T17:40:00.000-04:00,,,,2,Tyrone Taylor,https://static.prizepicks.com/images/players/MLB/Tyrone_Taylor_MLB_player_kvp5FExNTFB17yZ5Z1BrAYZx-450.webp,2.5,MLB,2026-05-04,,,,,OK,4.28,1.38,0.332,18,19,20,18.76923076923077,19,Below Avg,18,Below Avg,290.1,33.0,0
608372,Tomoyuki Sugano,P,pitcher,COL,NYM,2.5,Pitcher Strikeouts,strikeouts,Goblin,11861783,11861783,310787,155588,2026-05-04T17:40:00.000-04:00,,,3.5,1,Tomoyuki Sugano,https://static.prizepicks.com/images/manual/Tomoyuki_Sugano.png,2.5,MLB,2026-05-04,,,,,OK,4.13,1.27,0.31,14,10,9,11.615384615384617,13,Avg,14,Avg,285.2,32.0,0
686668,Brenton Doyle,OF,hitter,COL,NYM,2.5,Total Bases,total_bases,Demon,11863330,11863330,140684,155588,2026-05-04T17:40:00.000-04:00,,,,2,Brenton Doyle,https://static.prizepicks.com/images/players/MLB/Brenton_Doyle_MLB_player_FwRj3jQIJznnMuc1YcAmoyLE-450.webp,2.5,MLB,2026-05-04,,,,,OK,4.13,1.27,0.31,14,10,9,11.615384615384617,13,Avg,14,Avg,285.2,32.0,0
678662,Ezequiel Tovar,IF,hitter,COL,NYM,2.5,Total Bases,total_bases,Demon,11863332,11863332,127201,155588,2026-05-04T17:40:00.000-04:00,,,,2,Ezequiel Tovar,https://static.prizepicks.com/images/players/MLB/Ezequiel_Tovar_MLB_player_3IPwx2RWpwQzCCNLQB89UFta-450.webp,2.5,MLB,2026-05-04,,,,,OK,4.13,1.27,0.31,14,10,9,11.615384615384617,13,Avg,14,Avg,285.2,32.0,0
