player,team,prop_type,actual
Oscar Cluff,PUR,Points,6.0
Oscar Cluff,PUR,Rebounds,8.0
Oscar Cluff,PUR,Assists,3.0
Oscar Cluff,PUR,Blocked Shots,1.0
Oscar Cluff,PUR,Steals,1.0
Oscar Cluff,PUR,Turnovers,1.0
Oscar Cluff,PUR,FG Made,3.0
Oscar Cluff,PUR,FG Attempted,3.0
Oscar Cluff,PUR,3-PT Made,0.0
Oscar Cluff,PUR,3-PT Attempted,0.0
Oscar Cluff,PUR,Two Pointers Made,3.0
Oscar Cluff,PUR,Two Pointers Attempted,3.0
Oscar Cluff,PUR,Free Throws Made,0.0
Oscar Cluff,PUR,Free Throws Attempted,0.0
Oscar Cluff,PUR,Offensive Rebounds,0.0
Oscar Cluff,PUR,Defensive Rebounds,8.0
Oscar Cluff,PUR,Personal Fouls,1.0
Oscar Cluff,PUR,Fantasy Score,24.0
Oscar Cluff,PUR,Pts+Rebs+Asts,17.0
Oscar Cluff,PUR,PRA,17.0
Oscar Cluff,PUR,Pts+Rebs,14.0
Oscar Cluff,PUR,Pts+Asts,9.0
Oscar Cluff,PUR,Rebs+Asts,11.0
Oscar Cluff,PUR,Blks+Stls,2.0
C.J. Cox,PUR,Points,2.0
C.J. Cox,PUR,Rebounds,2.0
C.J. Cox,PUR,Assists,1.0
C.J. Cox,PUR,Blocked Shots,0.0
C.J. Cox,PUR,Steals,0.0
C.J. Cox,PUR,Turnovers,0.0
C.J. Cox,PUR,FG Made,1.0
C.J. Cox,PUR,FG Attempted,3.0
C.J. Cox,PUR,3-PT Made,0.0
C.J. Cox,PUR,3-PT Attempted,1.0
C.J. Cox,PUR,Two Pointers Made,1.0
C.J. Cox,PUR,Two Pointers Attempted,2.0
C.J. Cox,PUR,Free Throws Made,0.0
C.J. Cox,PUR,Free Throws Attempted,0.0
C.J. Cox,PUR,Offensive Rebounds,0.0
C.J. Cox,PUR,Defensive Rebounds,2.0
C.J. Cox,PUR,Personal Fouls,0.0
C.J. Cox,PUR,Fantasy Score,6.0
C.J. Cox,PUR,Pts+Rebs+Asts,5.0
C.J. Cox,PUR,PRA,5.0
C.J. Cox,PUR,Pts+Rebs,4.0
C.J. Cox,PUR,Pts+Asts,3.0
C.J. Cox,PUR,Rebs+Asts,3.0
C.J. Cox,PUR,Blks+Stls,0.0
Braden Smith,PUR,Points,15.0
Braden Smith,PUR,Rebounds,2.0
Braden Smith,PUR,Assists,8.0
Braden Smith,PUR,Blocked Shots,0.0
Braden Smith,PUR,Steals,3.0
Braden Smith,PUR,Turnovers,1.0
Braden Smith,PUR,FG Made,5.0
Braden Smith,PUR,FG Attempted,10.0
Braden Smith,PUR,3-PT Made,1.0
Braden Smith,PUR,3-PT Attempted,2.0
Braden Smith,PUR,Two Pointers Made,4.0
Braden Smith,PUR,Two Pointers Attempted,8.0
Braden Smith,PUR,Free Throws Made,4.0
Braden Smith,PUR,Free Throws Attempted,4.0
Braden Smith,PUR,Offensive Rebounds,0.0
Braden Smith,PUR,Defensive Rebounds,2.0
Braden Smith,PUR,Personal Fouls,1.0
Braden Smith,PUR,Fantasy Score,40.0
Braden Smith,PUR,Pts+Rebs+Asts,25.0
Braden Smith,PUR,PRA,25.0
Braden Smith,PUR,Pts+Rebs,17.0
Braden Smith,PUR,Pts+Asts,23.0
Braden Smith,PUR,Rebs+Asts,10.0
Braden Smith,PUR,Blks+Stls,3.0
Fletcher Loyer,PUR,Points,18.0
Fletcher Loyer,PUR,Rebounds,1.0
Fletcher Loyer,PUR,Assists,2.0
Fletcher Loyer,PUR,Blocked Shots,0.0
Fletcher Loyer,PUR,Steals,0.0
Fletcher Loyer,PUR,Turnovers,0.0
Fletcher Loyer,PUR,FG Made,5.0
Fletcher Loyer,PUR,FG Attempted,5.0
Fletcher Loyer,PUR,3-PT Made,4.0
Fletcher Loyer,PUR,3-PT Attempted,4.0
Fletcher Loyer,PUR,Two Pointers Made,1.0
Fletcher Loyer,PUR,Two Pointers Attempted,1.0
Fletcher Loyer,PUR,Free Throws Made,4.0
Fletcher Loyer,PUR,Free Throws Attempted,4.0
Fletcher Loyer,PUR,Offensive Rebounds,0.0
Fletcher Loyer,PUR,Defensive Rebounds,1.0
Fletcher Loyer,PUR,Personal Fouls,1.0
Fletcher Loyer,PUR,Fantasy Score,28.8
Fletcher Loyer,PUR,Pts+Rebs+Asts,21.0
Fletcher Loyer,PUR,PRA,21.0
Fletcher Loyer,PUR,Pts+Rebs,19.0
Fletcher Loyer,PUR,Pts+Asts,20.0
Fletcher Loyer,PUR,Rebs+Asts,3.0
Fletcher Loyer,PUR,Blks+Stls,0.0
Liam Murphy,PUR,Points,0.0
Liam Murphy,PUR,Rebounds,2.0
Liam Murphy,PUR,Assists,0.0
Liam Murphy,PUR,Blocked Shots,0.0
Liam Murphy,PUR,Steals,0.0
Liam Murphy,PUR,Turnovers,0.0
Liam Murphy,PUR,FG Made,0.0
Liam Murphy,PUR,FG Attempted,1.0
Liam Murphy,PUR,3-PT Made,0.0
Liam Murphy,PUR,3-PT Attempted,1.0
Liam Murphy,PUR,Two Pointers Made,0.0
Liam Murphy,PUR,Two Pointers Attempted,0.0
Liam Murphy,PUR,Free Throws Made,0.0
Liam Murphy,PUR,Free Throws Attempted,0.0
Liam Murphy,PUR,Offensive Rebounds,0.0
Liam Murphy,PUR,Defensive Rebounds,2.0
Liam Murphy,PUR,Personal Fouls,1.0
Liam Murphy,PUR,Fantasy Score,2.5
Liam Murphy,PUR,Pts+Rebs+Asts,2.0
Liam Murphy,PUR,PRA,2.0
Liam Murphy,PUR,Pts+Rebs,2.0
Liam Murphy,PUR,Pts+Asts,0.0
Liam Murphy,PUR,Rebs+Asts,2.0
Liam Murphy,PUR,Blks+Stls,0.0
Daniel Jacobsen,PUR,Points,6.0
Daniel Jacobsen,PUR,Rebounds,3.0
Daniel Jacobsen,PUR,Assists,1.0
Daniel Jacobsen,PUR,Blocked Shots,0.0
Daniel Jacobsen,PUR,Steals,0.0
Daniel Jacobsen,PUR,Turnovers,3.0
Daniel Jacobsen,PUR,FG Made,2.0
Daniel Jacobsen,PUR,FG Attempted,2.0
Daniel Jacobsen,PUR,3-PT Made,0.0
Daniel Jacobsen,PUR,3-PT Attempted,0.0
Daniel Jacobsen,PUR,Two Pointers Made,2.0
Daniel Jacobsen,PUR,Two Pointers Attempted,2.0
Daniel Jacobsen,PUR,Free Throws Made,2.0
Daniel Jacobsen,PUR,Free Throws Attempted,4.0
Daniel Jacobsen,PUR,Offensive Rebounds,2.0
Daniel Jacobsen,PUR,Defensive Rebounds,1.0
Daniel Jacobsen,PUR,Personal Fouls,5.0
Daniel Jacobsen,PUR,Fantasy Score,9.8
Daniel Jacobsen,PUR,Pts+Rebs+Asts,10.0
Daniel Jacobsen,PUR,PRA,10.0
