player_name,star_tier,team_abbreviation,notes
Nicole Enabosi,2,NIGER,Reliable starter
Nneka Ogwumike,2,SEA,Reliable starter
Noemie Brochant,2,PHX,Reliable starter
Norika Konno,2,JPN,Reliable starter
Noriko Palei,2,TOY,Reliable starter
Ny'Ceara Pryor,2,NYL,Reliable starter
Nyadiew Puoch,2,POR,Reliable starter
Nyara Sabally,2,TOR,Reliable starter
Odyssey Sims,2,LAS,Reliable starter
Olivia Miles,2,MIN,Reliable starter
Olivia Nelson-Ododa,2,CON,Reliable starter
Paige Bueckers,2,DAL,Reliable starter
Pallas Kunaiyi,2,NIGER,Reliable starter
Pauline Astier,2,NYL,Reliable starter
Promise Amukamara,2,NIGER,Reliable starter
Rachel Banham,2,CHI,Reliable starter
Rae Burrell,2,LAS,Reliable starter
Rebecca Allen,2,CON,Reliable starter
Rhyne Howard,2,ATL,Reliable starter
Rickea Jackson,2,LAS,Reliable starter
Riko Furuki,2,TOY,Reliable starter
Riquna Williams,2,LAS,Reliable starter
Rori Harmon,2,WSH,Reliable starter
Sami Whitcomb,2,PHX,Reliable starter
Saniya Rivers,2,CON,Reliable starter
Sarah Ashlee Barker,2,POR,Reliable starter
Satou Sabally,2,PHX,Reliable starter
Saylor Poffenbarger,2,MIN,Reliable starter
Serena Sundell,2,SEA,Reliable starter
Sevgi Uzun,2,CHI,Reliable starter
Shakira Austin,2,WSH,Reliable starter
Shatori Walker-Kimbrough,2,IND,Reliable starter
Shay Ijiwoye,2,NIGER,Reliable starter
Shey Peddy,2,LAS,Reliable starter
Skylar Diggins,2,SEA,Reliable starter
Sonia Citron,2,WSH,Reliable starter
Sophie Cunningham,2,IND,Reliable starter
Stefanie Dolson,2,SEA,Reliable starter
Stephanie Jones,2,ATL,Reliable starter
Stephanie Talbot,2,LVA,Reliable starter
Sug Sutton,2,WSH,Reliable starter
Susan Amaka Okonkwo,2,TOY,Reliable starter
Sydney Colson,2,IND,Reliable starter
Taina Mair,2,SEA,Reliable starter
Te-Hina Paopao,2,ATL,Reliable starter
Teaira McCowan,2,DAL,Reliable starter
Teonni Key,2,TOR,Reliable starter
Tiffany Hayes,2,CON,Reliable starter
Tina Charles,2,WSH,Reliable starter
Tyasha Harris,2,DAL,Reliable starter
Uche Izoje,2,NIGER,Reliable starter
Ufuoma Tanaka,2,TOY,Reliable starter
Valeriane Ayayi,2,PHX,Reliable starter
Vera Ojenuwa,2,NIGER,Reliable starter
Veronica Burton,2,CON,Reliable starter
