sport_disp,prop,direction,pick_type,line_bucket,n,hits,mean_ml,context_known_rate,defense_known_rate,minutes_known_rate,hit_rate
NBA1H,Fantasy Score,OVER,Standard,xl,101,96.0,0.9138500246856012,1.0,0.900990099009901,1.0,0.9504950495049505
NBA1H,Fantasy Score,OVER,Standard,high,89,76.0,0.913190005719583,1.0,0.9438202247191011,1.0,0.8539325842696629
NBA1H,Points,UNDER,Standard,high,48,21.0,0.52253125,1.0,0.8333333333333334,0.0,0.4375
NBA1H,Points,UNDER,Standard,mid,37,20.0,0.6025297297297297,1.0,0.7837837837837838,0.0,0.5405405405405406
NBA1H,Pts+Rebs+Asts,UNDER,Standard,high,24,12.0,0.6113916666666667,1.0,0.875,0.0,0.5
NBA1H,Pts+Rebs+Asts,UNDER,Standard,xl,19,5.0,0.5899263157894737,1.0,0.6842105263157895,0.0,0.2631578947368421
NBA1H,Free Throws Made,UNDER,Standard,low,15,6.0,0.9620933333333334,1.0,1.0,0.0,0.4
NBA1Q,Points,OVER,Goblin,low,1294,1116.0,0.9006686270627193,1.0,0.9969088098918083,0.3160741885625966,0.8624420401854714
NBA1Q,Points,OVER,Demon,mid,972,605.0,0.846905457923739,1.0,0.9969135802469136,0.6265432098765432,0.6224279835390947
NBA1Q,Rebounds,OVER,Demon,low,772,453.0,0.8210868700607254,1.0,0.9961139896373057,0.5310880829015544,0.5867875647668394
NBA1Q,Assists,OVER,Demon,low,454,286.0,0.8103035909894878,1.0,0.9977973568281938,0.6365638766519823,0.6299559471365639
NBA1Q,Rebounds,OVER,Goblin,micro,352,351.0,0.9127578466301435,1.0,1.0,0.24147727272727273,0.9971590909090909
NBA1Q,Points,OVER,Goblin,mid,347,260.0,0.8886123886659852,1.0,1.0,0.276657060518732,0.7492795389048992
NBA1Q,Assists,OVER,Demon,micro,309,286.0,0.8700381433270715,1.0,0.9967637540453075,0.4174757281553398,0.9255663430420712
NBA1Q,Points,OVER,Standard,low,265,213.0,0.8803998512675384,1.0,0.9962264150943396,0.35471698113207545,0.8037735849056604
NBA1Q,Points,OVER,Standard,mid,250,171.0,0.8658144959832849,1.0,1.0,0.36,0.684
NBA1Q,Points,OVER,Demon,high,247,154.0,0.87268659993739,1.0,1.0,0.7611336032388664,0.6234817813765182
NBA1Q,Rebounds,OVER,Goblin,low,241,177.0,0.8718529312474483,1.0,0.991701244813278,0.2946058091286307,0.7344398340248963
NBA1Q,Assists,OVER,Goblin,micro,232,229.0,0.8899200796519615,1.0,1.0,0.28448275862068967,0.9870689655172413
NBA1Q,Points,OVER,Demon,low,196,126.0,0.8523994758122607,1.0,1.0,0.3469387755102041,0.6428571428571429
NBA1Q,Rebounds,OVER,Demon,mid,146,75.0,0.8803673755464116,1.0,1.0,0.7397260273972602,0.5136986301369864
NBA1Q,Assists,OVER,Goblin,low,122,93.0,0.8747783948397112,1.0,1.0,0.28688524590163933,0.7622950819672131
NBA1Q,Rebounds,OVER,Standard,low,114,78.0,0.8352663646448796,1.0,1.0,0.3684210526315789,0.6842105263157895
