sport,direction,pick_type,prop,bin_index,mean_pred,mean_true,gap,n_stratum,flagged
NBA,OVER,Goblin,Pts+Rebs+Asts,7,0.9093782312902475,0.6192236598890942,0.2901545714011533,5409,True
NBA,OVER,Goblin,Pts+Rebs+Asts,8,0.9115270090699041,0.6487985212569316,0.26272848781297253,5409,True
NBA,OVER,Goblin,Pts+Rebs+Asts,9,0.9152064144168089,0.7264325323475046,0.18877388206930434,5409,True
NBA,OVER,Goblin,Rebounds,0,0.43737307741442477,0.6439393939393939,0.20656631652496915,3955,True
NBA,OVER,Goblin,Rebounds,5,0.831584652135687,0.6726342710997443,0.15895038103594272,3955,True
NBA,OVER,Goblin,Rebounds,6,0.9074947170725499,0.6142506142506142,0.2932441028219357,3955,True
NBA,OVER,Goblin,Rebounds,7,0.9095829236112739,0.6735751295336787,0.2360077940775952,3955,True
NBA,OVER,Goblin,Rebounds,8,0.9109417617226213,0.6533665835411472,0.25757517818147413,3955,True
NBA,OVER,Goblin,Rebounds,9,0.9132340326938589,0.7268041237113402,0.18642990898251877,3955,True
NBA,OVER,Goblin,Rebs+Asts,0,0.4347365113860862,0.5963302752293578,0.16159376384327157,4360,True
NBA,OVER,Goblin,Rebs+Asts,5,0.857651825118248,0.5753424657534246,0.2823093593648234,4360,True
NBA,OVER,Goblin,Rebs+Asts,6,0.9080574539705302,0.6054421768707483,0.30261527709978187,4360,True
NBA,OVER,Goblin,Rebs+Asts,7,0.9097588812497397,0.621867881548975,0.2878909997007647,4360,True
NBA,OVER,Goblin,Rebs+Asts,8,0.9111340834773579,0.6643518518518519,0.24678223162550605,4360,True
NBA,OVER,Goblin,Rebs+Asts,9,0.9132374209557397,0.7325581395348837,0.18067928142085599,4360,True
NBA,OVER,Goblin,Steals,0,0.46633878319286687,0.6272189349112426,0.16088015171837572,1689,True
NBA,OVER,Goblin,Steals,5,0.7718089568794594,0.5329341317365269,0.23887482514293246,1689,True
NBA,OVER,Goblin,Steals,6,0.8413293235780213,0.621301775147929,0.2200275484300923,1689,True
NBA,OVER,Goblin,Steals,7,0.9141482981095176,0.6069364161849711,0.3072118819245465,1689,True
NBA,OVER,Goblin,Steals,8,0.9177212771696517,0.6845238095238095,0.23319746764584215,1689,True
NBA,OVER,Goblin,Steals,9,0.9188821110560952,0.7108433734939759,0.20803873756211932,1689,True
NBA,OVER,Goblin,Turnovers,0,0.3733658861646905,0.5942028985507246,0.2208370123860341,681,True
NBA,OVER,Goblin,Turnovers,6,0.7883130459399251,0.6716417910447762,0.11667125489514896,681,True
NBA,OVER,Goblin,Turnovers,7,0.8929964364748602,0.5942028985507246,0.29879353792413554,681,True
NBA,OVER,Goblin,Turnovers,8,0.9101249745989657,0.5735294117647058,0.33659556283425984,681,True
NBA,OVER,Goblin,Turnovers,9,0.9174747169607788,0.5735294117647058,0.3439453051960729,681,True
NBA,OVER,Goblin,Two Pointers Attempted,0,0.36903170461551127,0.5238095238095238,0.15477781919401257,203,True
NBA,OVER,Goblin,Two Pointers Attempted,1,0.5563100000000001,0.65,0.09368999999999994,203,True
NBA,OVER,Goblin,Two Pointers Attempted,3,0.609700837056688,0.4,0.20970083705668796,203,True
NBA,OVER,Goblin,Two Pointers Attempted,7,0.8664717112498221,0.7,0.16647171124982219,203,True
NBA,OVER,Goblin,Two Pointers Attempted,8,0.9080678365953183,0.7,0.20806783659531836,203,True
NBA,OVER,Goblin,Two Pointers Attempted,9,0.9117789676098744,0.6190476190476191,0.29273134856225536,203,True
NBA,OVER,Goblin,Two Pointers Made,0,0.3823019061082843,0.5263157894736842,0.1440138833653999,379,True
NBA,OVER,Goblin,Two Pointers Made,5,0.7237205921353499,0.4594594594594595,0.2642611326758904,379,True
NBA,OVER,Goblin,Two Pointers Made,6,0.83238924244255,0.631578947368421,0.20081029507412895,379,True
NBA,OVER,Goblin,Two Pointers Made,7,0.9063773368399048,0.6578947368421053,0.24848259999779954,379,True
NBA,OVER,Goblin,Two Pointers Made,8,0.9101191366697936,0.6410256410256411,0.2690934956441525,379,True
NBA,OVER,Goblin,Two Pointers Made,9,0.9152560504840053,0.7837837837837838,0.1314722667002215,379,True
NBA,OVER,Standard,3-PT Attempted,0,0.25749761824512135,0.5151515151515151,0.2576538969063938,307,True
NBA,OVER,Standard,3-PT Attempted,3,0.48396510465285353,0.6470588235294118,0.16309371887655827,307,True
NBA,OVER,Standard,3-PT Attempted,7,0.6842390880321955,0.45454545454545453,0.22969363348674093,307,True
NBA,OVER,Standard,3-PT Attempted,8,0.8962323630516632,0.6428571428571429,0.2533752201945203,307,True
NBA,OVER,Standard,3-PT Attempted,9,0.9113884999557887,0.2903225806451613,0.6210659193106274,307,True
NBA,OVER,Standard,3-PT Made,0,0.24735696839553487,0.3684210526315789,0.12106408423604406,182,True
NBA,OVER,Standard,3-PT Made,2,0.4802699491182964,0.3888888888888889,0.09138106022940751,182,True
NBA,OVER,Standard,3-PT Made,3,0.5047193798648739,0.631578947368421,0.1268595675035471,182,True
NBA,OVER,Standard,3-PT Made,7,0.843311111111111,0.4444444444444444,0.3988666666666666,182,True
NBA,OVER,Standard,3-PT Made,8,0.9058774106343755,0.6666666666666666,0.23921074396770892,182,True
NBA,OVER,Standard,3-PT Made,9,0.9146864987388296,0.5263157894736842,0.3883707092651454,182,True
NBA,OVER,Standard,Assists,0,0.28434028284199236,0.45,0.16565971715800765,392,True
NBA,OVER,Standard,Assists,5,0.6479534082587782,0.5641025641025641,0.08385084415621413,392,True
NBA,OVER,Standard,Assists,6,0.8156255091451936,0.4358974358974359,0.3797280732477577,392,True
NBA,OVER,Standard,Assists,7,0.9005320640802585,0.28205128205128205,0.6184807820289765,392,True
NBA,OVER,Standard,Assists,8,0.9067734759515604,0.5121951219512195,0.3945783540003409,392,True
NBA,OVER,Standard,Assists,9,0.9097972010578406,0.5,0.40979720105784057,392,True
NBA,OVER,Standard,Blks+Stls,0,0.2525450197471153,0.5625,0.3099549802528847,151,True
NBA,OVER,Standard,Blks+Stls,1,0.3799312500000001,0.5625,0.1825687499999999,151,True
NBA,OVER,Standard,Blks+Stls,2,0.46725938160260516,0.26666666666666666,0.2005927149359385,151,True
NBA,OVER,Standard,Blks+Stls,3,0.4909384638336713,0.3333333333333333,0.15760513050033798,151,True
NBA,OVER,Standard,Blks+Stls,4,0.5103,0.35714285714285715,0.15315714285714283,151,True
NBA,OVER,Standard,Blks+Stls,5,0.5432434182612101,0.4,0.14324341826121012,151,True
NBA,OVER,Standard,Blks+Stls,6,0.5994281608263652,0.4666666666666667,0.1327614941596985,151,True
NBA,OVER,Standard,Blks+Stls,7,0.721873142876725,0.55,0.17187314287672495,151,True
NBA,OVER,Standard,Blks+Stls,8,0.89247,0.5,0.39247,151,True
NBA,OVER,Standard,Blks+Stls,9,0.9079893717758741,0.4,0.5079893717758741,151,True
NBA,OVER,Standard,Blocked Shots,0,0.3162363636363637,0.6363636363636364,0.32012727272727265,103,True
NBA,OVER,Standard,Blocked Shots,1,0.45204000000000005,0.3,0.15204000000000006,103,True
NBA,OVER,Standard,Blocked Shots,4,0.5138454545454546,0.2727272727272727,0.2411181818181819,103,True
NBA,OVER,Standard,Blocked Shots,5,0.5612699999999999,0.3,0.26126999999999995,103,True
NBA,OVER,Standard,Blocked Shots,6,0.64752,0.5,0.14751999999999998,103,True
NBA,OVER,Standard,Blocked Shots,7,0.7629879679893009,0.4,0.3629879679893009,103,True
NBA,OVER,Standard,Blocked Shots,8,0.8907037485607727,0.2,0.6907037485607728,103,True
NBA,OVER,Standard,Blocked Shots,9,0.9200607348559099,0.18181818181818182,0.7382425530377281,103,True
NBA,OVER,Standard,FG Attempted,0,0.27558845362454737,0.44642857142857145,0.17084011780402408,552,True
NBA,OVER,Standard,FG Attempted,6,0.6655711384796317,0.5454545454545454,0.12011659302508626,552,True
NBA,OVER,Standard,FG Attempted,7,0.8980657450362445,0.4909090909090909,0.40715665412715357,552,True
NBA,OVER,Standard,FG Attempted,8,0.9061374483562442,0.4642857142857143,0.4418517340705299,552,True
NBA,OVER,Standard,FG Attempted,9,0.9090032239717984,0.5454545454545454,0.36354867851725303,552,True
NBA,OVER,Standard,FG Made,0,0.26069402133833064,0.5,0.23930597866166936,435,True
