sport_disp,pipeline_group,tier_group,prop,direction,pick_type_group,def_tier_norm,line_bucket,n,hits,mean_ml,context_known_rate,defense_known_rate,minutes_known_rate,hit_rate
NBA,NBA,A,Pts+Rebs,UNDER,Standard UNDER,Above Avg,xl,21,10.0,0.4980623386704307,1.0,1.0,1.0,0.47619047619047616
NBA,NBA,A,Pts+Rebs+Asts,OVER,Standard OVER,Weak,xl,21,12.0,0.8444470250291929,1.0,1.0,1.0,0.5714285714285714
NBA,NBA,B,Fantasy Score,OVER,Goblin,Elite,xl,21,13.0,0.8735364026028388,1.0,1.0,1.0,0.6190476190476191
NBA,NBA,B,Pts+Asts,OVER,Goblin,Elite,mid,21,12.0,0.7570263272627232,1.0,1.0,1.0,0.5714285714285714
NBA,NBA,C,Fantasy Score,OVER,Standard OVER,Elite,xl,21,16.0,0.8586981829461421,1.0,1.0,1.0,0.7619047619047619
NBA,NBA,C,Pts+Asts,UNDER,Standard UNDER,Elite,high,21,9.0,0.5075567601435845,1.0,1.0,1.0,0.42857142857142855
NBA,NBA,A,Fantasy Score,OVER,Goblin,Weak,high,20,15.0,0.8924148303036856,1.0,1.0,1.0,0.75
NBA,NBA,A,Pts+Asts,OVER,Goblin,Elite,mid,20,13.0,0.8841638059627487,1.0,1.0,1.0,0.65
NBA,NBA,A,Pts+Asts,UNDER,Standard UNDER,Avg,xl,20,11.0,0.4791531622255471,1.0,1.0,1.0,0.55
NBA,NBA,A,Pts+Rebs+Asts,UNDER,Standard UNDER,Weak,xl,20,9.0,0.6301929237166296,1.0,1.0,1.0,0.45
NBA,NBA,B,Pts+Asts,OVER,Goblin,Elite,xl,20,15.0,0.7142020840504305,1.0,1.0,1.0,0.75
NBA,NBA,D,Turnovers,OVER,Standard OVER,Weak,micro,20,12.0,0.6398380085541224,1.0,1.0,1.0,0.6
NBA,NBA,B,Assists,UNDER,Standard UNDER,Elite,mid,19,8.0,0.4925039002811028,1.0,1.0,1.0,0.42105263157894735
NBA,NBA,D,FG Made,OVER,Goblin,Weak,low,19,14.0,0.6738914172256691,1.0,1.0,1.0,0.7368421052631579
NBA,NBA,A,Blks+Stls,OVER,Goblin,Avg,low,18,11.0,0.8252254424151821,1.0,1.0,1.0,0.6111111111111112
NBA,NBA,A,Points,UNDER,Standard UNDER,Avg,high,18,11.0,0.47915435200841483,1.0,1.0,1.0,0.6111111111111112
NBA,NBA,A,Pts+Asts,OVER,Standard OVER,Weak,xl,18,8.0,0.8517117368523367,1.0,1.0,1.0,0.4444444444444444
NBA,NBA,A,Rebounds,OVER,Goblin,Avg,high,18,14.0,0.8725587821288006,1.0,1.0,1.0,0.7777777777777778
NBA,NBA,B,Fantasy Score,OVER,Demon,Weak,xl,18,8.0,0.8551366064088716,1.0,1.0,1.0,0.4444444444444444
NBA,NBA,B,Pts+Rebs+Asts,OVER,Goblin,Elite,mid,18,7.0,0.7308972350872205,1.0,1.0,1.0,0.3888888888888889
NBA,NBA,C,Pts+Rebs+Asts,OVER,Demon,Weak,xl,18,6.0,0.7278138192040641,1.0,1.0,1.0,0.3333333333333333
NBA,NBA,A,3-PT Made,OVER,Goblin,Elite,low,17,9.0,0.8026843464772381,1.0,1.0,1.0,0.5294117647058824
NBA,NBA,A,Points,OVER,Standard OVER,Weak,xl,17,11.0,0.7799602308122322,1.0,1.0,1.0,0.6470588235294118
NBA,NBA,A,Pts+Rebs,OVER,Standard OVER,Weak,high,17,10.0,0.7519152237352028,1.0,1.0,1.0,0.5882352941176471
