team_name,pp_name,league,gp,goals_conceded,goals_conceded_pg,shots_conceded_pg,clean_sheets,wins,draws,losses,OVERALL_DEF_RANK,DEF_TIER
Ecuador,ECUADOR,World Cup,1,1.0,1.0,,0,0,0,1,7,Above Avg
Germany,GERMANY,World Cup,1,1.0,1.0,,0,1,0,0,7,Above Avg
Ivory Coast,IVORY COAST,World Cup,1,0.0,0.0,,0,1,0,0,1,Elite
Curaçao,CURACAO,World Cup,1,7.0,7.0,,0,0,0,1,30,Weak
Netherlands,NETHERLANDS,World Cup,1,2.0,2.0,,0,0,1,0,23,Below Avg
Sweden,SWEDEN,World Cup,1,1.0,1.0,,0,1,0,0,7,Above Avg
Japan,JAPAN,World Cup,1,2.0,2.0,,0,0,1,0,23,Below Avg
Tunisia,TUNISIA,World Cup,1,5.0,5.0,,0,0,0,1,29,Weak
Belgium,BELGIUM,World Cup,1,1.0,1.0,,0,0,1,0,7,Above Avg
Iran,IRAN,World Cup,0,0.0,0.0,,0,0,0,0,16,Avg
Egypt,EGYPT,World Cup,1,1.0,1.0,,0,0,1,0,7,Above Avg
New Zealand,NEW ZEALAND,World Cup,0,0.0,0.0,,0,0,0,0,16,Avg
Spain,SPAIN,World Cup,1,0.0,0.0,,0,0,1,0,1,Elite
Uruguay,URUGUAY,World Cup,1,1.0,1.0,,0,0,1,0,7,Above Avg
Saudi Arabia,SAUDI ARABIA,World Cup,1,1.0,1.0,,0,0,1,0,7,Above Avg
Cape Verde,CAPE VERDE,World Cup,1,0.0,0.0,,0,0,1,0,1,Elite
Norway,NORWAY,World Cup,0,0.0,0.0,,0,0,0,0,16,Avg
France,FRANCE,World Cup,0,0.0,0.0,,0,0,0,0,16,Avg
Senegal,SENEGAL,World Cup,0,0.0,0.0,,0,0,0,0,16,Avg
Iraq,IRAQ,World Cup,0,0.0,0.0,,0,0,0,0,16,Avg
Argentina,ARGENTINA,World Cup,0,0.0,0.0,,0,0,0,0,16,Avg
Austria,AUSTRIA,World Cup,0,0.0,0.0,,0,0,0,0,16,Avg
Algeria,ALGERIA,World Cup,0,0.0,0.0,,0,0,0,0,16,Avg
Jordan,JORDAN,World Cup,0,0.0,0.0,,0,0,0,0,16,Avg
Colombia,COLOMBIA,World Cup,0,0.0,0.0,,0,0,0,0,16,Avg
Portugal,PORTUGAL,World Cup,0,0.0,0.0,,0,0,0,0,16,Avg
Uzbekistan,UZBEKISTAN,World Cup,0,0.0,0.0,,0,0,0,0,16,Avg
Congo DR,CONGO DR,World Cup,0,0.0,0.0,,0,0,0,0,16,Avg
England,ENGLAND,World Cup,0,0.0,0.0,,0,0,0,0,16,Avg
Croatia,CROATIA,World Cup,0,0.0,0.0,,0,0,0,0,16,Avg
Panama,PANAMA,World Cup,0,0.0,0.0,,0,0,0,0,16,Avg
Ghana,GHANA,World Cup,0,0.0,0.0,,0,0,0,0,16,Avg
