sport,dimension,direction,n,hits,mean_ml,hit_rate,prop,minutes_tier,def_tier,h2h_bucket,role,pick_type,tier
wnba,minutes_tier,,1365,740.0,0.6102163369963369,0.5421245421245421,,UNKNOWN,,,,,
wnba,minutes_tier,,833,437.0,0.5406336134453782,0.524609843937575,,MED,,,,,
wnba,minutes_tier,,57,21.0,0.8714438596491229,0.3684210526315789,,0,,,,,
wnba,def_tier,,2030,1187.0,0.5715881773399015,0.5847290640394088,,,Weak,,,,
wnba,def_tier,,2057,1191.0,0.5476695187165775,0.5789985415653864,,,Elite,,,,
wnba,def_tier,,2278,1288.0,0.5610830114135206,0.5654082528533801,,,(missing),,,,
wnba,def_tier,,1734,963.0,0.5970806228373703,0.5553633217993079,,,Below Avg,,,,
wnba,def_tier,,1582,835.0,0.5726927307206069,0.5278128950695322,,,Above Avg,,,,
wnba,def_tier,,1279,629.0,0.5647511336982017,0.491790461297889,,,Avg,,,,
wnba,h2h_bucket,,10960,6093.0,0.5683103740875912,0.5559306569343065,,,,(not in graded export),,,
wnba,role,,70,45.0,0.5552728571428572,0.6428571428571429,,,,,shot:MID_VOL | usage:SUPPORT,,
wnba,role,,1813,1072.0,0.5678930501930501,0.5912851627137341,,,,,shot:MID_VOL | usage:SECONDARY,,
wnba,role,,412,238.0,0.5739912621359223,0.5776699029126213,,,,,shot:LOW_VOL | usage:SECONDARY,,
wnba,role,,4147,2348.0,0.575209549071618,0.5661924282613938,,,,,shot:LOW_VOL | usage:SUPPORT,,
wnba,role,,346,189.0,0.5576187861271676,0.546242774566474,,,,,shot:MID_VOL | usage:PRIMARY,,
wnba,role,,167,90.0,0.5610934131736527,0.5389221556886228,,,,,shot:HIGH_VOL | usage:SECONDARY,,
wnba,role,,3948,2090.0,0.5577591438703141,0.5293819655521783,,,,,shot:HIGH_VOL | usage:PRIMARY,,
wnba,role,,57,21.0,0.8714438596491229,0.3684210526315789,,,,,shot:UNKNOWN | usage:UNKNOWN,,
wnba,pick_type,,4608,2916.0,0.6980478949652777,0.6328125,,,,,,Goblin,
wnba,pick_type,,6352,3177.0,0.47419348236775816,0.5001574307304786,,,,,,Standard,
wnba,tier,,3664,2227.0,0.5200851528384279,0.6078056768558951,,,,,,,A
wnba,tier,,1313,794.0,0.6797286367098249,0.6047220106626047,,,,,,,C
wnba,tier,,1999,1148.0,0.6384470735367683,0.5742871435717859,,,,,,,B
wnba,tier,,3984,1924.0,0.5407505773092369,0.48293172690763053,,,,,,,D
