sport,prop,tier,pick_type,decided,hits,misses,hit_rate
NBA,Two Pointers Attempted,A,Goblin,24,16,8,0.6667
NHL,Assists,B,Demon,24,13,11,0.5417
NBA,Free Throws Attempted,A,Goblin,24,12,12,0.5
SOCCER,Shots,D,Standard,24,8,16,0.3333
NHL,Faceoffs Won,A,Goblin,23,23,0,1.0
NBA,Two Pointers Made,A,Standard,23,15,8,0.6522
CBB,ast,A,Goblin,23,14,9,0.6087
NBA,Rebs+Asts,A,Demon,23,13,10,0.5652
NHL,Plus/Minus,A,Demon,23,11,12,0.4783
NHL,plus/minus,B,—,23,9,14,0.3913
SOCCER,Passes Attempted,D,Standard,23,0,23,0.0
NBA,3-PT Made,C,Demon,22,11,11,0.5
NBA,Blocked Shots,B,Standard,22,11,11,0.5
NHL,goalie_saves,C,—,22,0,22,0.0
CBB,ra,B,Standard,21,10,11,0.4762
NBA,Rebs+Asts,B,Demon,21,8,13,0.381
MLB,Pitching Outs,A,Goblin,20,13,7,0.65
NBA,Points (Combo),B,Standard,20,11,9,0.55
NHL,Points,C,Goblin,20,11,9,0.55
NBA,FG Made,A,Goblin,20,8,12,0.4
CBB,stocks,C,Goblin,19,12,7,0.6316
MLB,Walks,B,Goblin,19,11,8,0.5789
CBB,ra,C,Goblin,19,10,9,0.5263
MLB,Pitcher Strikeouts,C,Standard,19,10,9,0.5263
NBA,FG Made,B,Standard,19,10,9,0.5263
SOCCER,Goals,B,Demon,19,2,17,0.1053
NHL,Shots On Goal,C,Goblin,19,0,19,0.0
NBA,FG Made,B,Goblin,18,13,5,0.7222
CBB,blk,B,Goblin,18,12,6,0.6667
NBA,FG Attempted,C,Goblin,18,10,8,0.5556
MLB,Hits,B,Demon,18,8,10,0.4444
MLB,Walks Allowed,A,Demon,18,6,12,0.3333
NHL,plus/minus,A,—,18,5,13,0.2778
MLB,Pitcher Strikeouts,C,Demon,18,2,16,0.1111
CBB,stocks,D,Standard,17,9,8,0.5294
NBA,FG Made,A,Standard,17,9,8,0.5294
NHL,Power Play Points,A,Standard,17,7,10,0.4118
NBA,Pts+Rebs,B,Demon,17,6,11,0.3529
MLB,Walks Allowed,B,Goblin,16,13,3,0.8125
NBA,3-PT Attempted,B,Goblin,16,11,5,0.6875
NBA,Free Throws Attempted,B,Demon,16,9,7,0.5625
NBA,Two Pointers Attempted,B,Goblin,16,9,7,0.5625
NBA,3-PT Attempted,A,Standard,16,7,9,0.4375
CBB,pr,D,Goblin,16,6,10,0.375
NBA,Free Throws Made,B,Demon,16,6,10,0.375
SOCCER,Attempted Dribbles,D,Standard,16,6,10,0.375
NBA,Pts+Rebs,C,Demon,16,5,11,0.3125
SOCCER,Goals Allowed,A,Goblin,15,11,4,0.7333
SOCCER,Shots Assisted,D,Standard,15,11,4,0.7333
SOCCER,Goals Allowed,C,Demon,15,10,5,0.6667
NBA,Blks+Stls,A,Standard,15,6,9,0.4
CBB,blk,D,Goblin,15,5,10,0.3333
SOCCER,Passes Attempted,C,Standard,15,0,15,0.0
NBA,Blocked Shots,C,Demon,14,6,8,0.4286
SOCCER,Attempted Dribbles,B,Standard,14,3,11,0.2143
CBB,pa,C,Goblin,13,9,4,0.6923
NBA,FG Attempted,B,Goblin,13,9,4,0.6923
NBA,Fantasy Score,A,Demon,13,6,7,0.4615
NBA,Personal Fouls,B,Standard,13,6,7,0.4615
SOCCER,Shots Assisted,B,Standard,13,6,7,0.4615
MLB,Runs,B,Goblin,13,5,8,0.3846
NBA,3-PT Attempted,B,Standard,13,4,9,0.3077
SOCCER,Clearances,B,Standard,13,1,12,0.0769
SOCCER,Goalie Saves,B,Demon,13,1,12,0.0769
SOCCER,Fouls,B,Demon,13,0,13,0.0
MLB,Walks Allowed,C,Goblin,12,11,1,0.9167
MLB,Runs,C,Goblin,12,8,4,0.6667
NBA,Blocked Shots,A,Standard,12,7,5,0.5833
CBB,stocks,C,Standard,12,5,7,0.4167
MLB,Pitching Outs,B,Goblin,12,3,9,0.25
SOCCER,Tackles,A,Goblin,12,3,9,0.25
CBB,pa,B,Goblin,11,8,3,0.7273
NBA,Assists (Combo),C,Standard,11,8,3,0.7273
NHL,Plus/Minus,B,Standard,11,7,4,0.6364
NBA,Assists (Combo),B,Standard,11,6,5,0.5455
NBA,Steals,A,Demon,11,6,5,0.5455
NBA,Pts+Asts,B,Demon,11,4,7,0.3636
MLB,Walks Allowed,B,Standard,11,3,8,0.2727
MLB,Pitching Outs,A,Demon,10,9,1,0.9
CBB,fg3m,A,Goblin,10,8,2,0.8
SOCCER,Goalie Saves,D,Standard,10,7,3,0.7
NHL,faceoffs_won,B,—,10,1,9,0.1
NHL,Plus/Minus,A,Standard,9,8,1,0.8889
NBA,Pts+Rebs,A,Demon,9,6,3,0.6667
NBA,Defensive Rebounds,D,Goblin,9,4,5,0.4444
NBA,Pts+Rebs+Asts,A,Demon,9,4,5,0.4444
NBA,Blks+Stls,C,Demon,9,3,6,0.3333
MLB,Hits Allowed,B,Standard,9,2,7,0.2222
NBA,Two Pointers Made,C,Demon,8,6,2,0.75
NBA,3-PT Attempted,A,Goblin,8,5,3,0.625
CBB,reb,B,Standard,8,3,5,0.375
NBA,Steals,B,Demon,8,1,7,0.125
SOCCER,Clearances,D,Standard,8,0,8,0.0
CBB,stl,A,Goblin,7,5,2,0.7143
NBA,FG Made,A,Demon,7,5,2,0.7143
NBA,FG Made,C,Demon,7,5,2,0.7143
NHL,Assists,C,Standard,7,5,2,0.7143
CBB,fg3m,B,Standard,7,4,3,0.5714
CBB,pa,A,Goblin,7,4,3,0.5714
NBA,FG Attempted,A,Goblin,7,4,3,0.5714
NBA,Free Throws Made,A,Demon,7,3,4,0.4286
SOCCER,Goalie Saves,C,Demon,7,2,5,0.2857
SOCCER,Tackles,B,Standard,7,2,5,0.2857
SOCCER,Clearances,C,Standard,7,0,7,0.0
NHL,hits,C,—,6,6,0,1.0
SOCCER,Goals Allowed,B,Standard,6,6,0,1.0
NBA,3-PT Made (Combo),B,Standard,6,5,1,0.8333
NBA,3-PT Made,B,Demon,6,4,2,0.6667
CBB,pa,D,Goblin,6,3,3,0.5
SOCCER,Shots,B,Standard,6,3,3,0.5
MLB,Pitching Outs,C,Goblin,6,2,4,0.3333
NHL,goalie_saves,B,—,6,2,4,0.3333
NHL,goals_allowed,A,—,6,2,4,0.3333
SOCCER,Crosses,B,Standard,6,1,5,0.1667
SOCCER,Crosses,D,Standard,6,1,5,0.1667
MLB,Walks Allowed,B,Demon,6,0,6,0.0
CBB,points (combo),D,Standard,5,4,1,0.8
NBA,Assists (Combo),A,Standard,5,4,1,0.8
SOCCER,Shots On Target,A,Standard,5,4,1,0.8
NBA,Rebounds (Combo),B,Standard,5,3,2,0.6
NHL,Assists,B,Goblin,5,3,2,0.6
NHL,Power Play Points,C,Demon,5,2,3,0.4
SOCCER,Goalie Saves,C,Standard,5,2,3,0.4
SOCCER,Clearances,A,Standard,5,0,5,0.0
CBB,ra,A,Standard,4,4,0,1.0
MLB,Walks Allowed,C,Standard,4,4,0,1.0
NHL,Blocked Shots,A,Demon,4,4,0,1.0
CBB,stocks,D,Goblin,4,3,1,0.75
NBA,3-PT Made (Combo),A,Standard,4,3,1,0.75
NBA,Double-Double,D,Standard,4,3,1,0.75
NBA,Triple-Double,D,Goblin,4,3,1,0.75
SOCCER,Goalie Saves,B,Standard,4,3,1,0.75
MLB,Pitcher Strikeouts,B,Goblin,4,2,2,0.5
NHL,Points,D,Standard,4,2,2,0.5
NHL,goals_allowed,C,—,4,2,2,0.5
NBA,Pts+Asts,A,Demon,4,1,3,0.25
SOCCER,Goal + Assist,A,Goblin,4,1,3,0.25
SOCCER,Tackles,D,Standard,4,1,3,0.25
SOCCER,Goal + Assist,D,Goblin,4,0,4,0.0
SOCCER,Tackles,C,Standard,3,3,0,1.0
NBA,Personal Fouls,A,Standard,3,2,1,0.6667
NBA,Triple-Double,D,Standard,3,2,1,0.6667
NHL,Shots On Goal,D,Standard,3,2,1,0.6667
NHL,Time On Ice,D,Standard,3,2,1,0.6667
SOCCER,Shots On Target,B,Standard,3,2,1,0.6667
MLB,Hits Allowed,C,Demon,3,1,2,0.3333
NBA,3-PT Made (Combo),C,Standard,3,1,2,0.3333
NBA,Blocked Shots,B,Demon,3,1,2,0.3333
NBA,Free Throws Attempted,A,Demon,3,1,2,0.3333
NBA,Rebounds (Combo),C,Standard,3,1,2,0.3333
NBA,Two Pointers Attempted,A,Demon,3,1,2,0.3333
NHL,Blocked Shots,D,Standard,3,1,2,0.3333
NHL,Goals,C,Standard,3,1,2,0.3333
NBA,3-PT Made,A,Demon,3,0,3,0.0
NBA,Blks+Stls,B,Demon,3,0,3,0.0
NBA,Rebounds (Combo),A,Standard,3,0,3,0.0
SOCCER,Goals Allowed,D,Demon,3,0,3,0.0
CBB,double-double,D,Goblin,2,2,0,1.0
NBA,Turnovers,C,Demon,2,2,0,1.0
NHL,Points,D,Goblin,2,2,0,1.0
NHL,Time On Ice,D,Demon,2,2,0,1.0
SOCCER,Fouls,D,Standard,2,2,0,1.0
SOCCER,Goals Allowed,B,Demon,2,2,0,1.0
SOCCER,Shots Assisted,C,Standard,2,2,0,1.0
CBB,reb,A,Standard,2,1,1,0.5
MLB,Walks Allowed,A,Standard,2,1,1,0.5
NHL,Assists,C,Goblin,2,1,1,0.5
SOCCER,Shots,B,Goblin,2,1,1,0.5
CBB,ra,B,Goblin,2,0,2,0.0
NBA,Two Pointers Attempted,C,Demon,2,0,2,0.0
NBA,Two Pointers Made,A,Demon,2,0,2,0.0
NHL,Hits,D,Demon,2,0,2,0.0
NHL,Hits,D,Standard,2,0,2,0.0
SOCCER,Tackles,A,Standard,2,0,2,0.0
CBB,ast,B,Standard,1,1,0,1.0
CBB,fantasy,A,Goblin,1,1,0,1.0
CBB,fantasy,B,Standard,1,1,0,1.0
CBB,tov,B,Goblin,1,1,0,1.0
NBA,3-PT Attempted,C,Demon,1,1,0,1.0
NBA,Defensive Rebounds,D,Demon,1,1,0,1.0
NBA,FG Attempted,C,Demon,1,1,0,1.0
NBA,Turnovers,B,Demon,1,1,0,1.0
NBA,Two Pointers Made,B,Demon,1,1,0,1.0
NHL,Goals,D,Standard,1,1,0,1.0
NHL,Hits,C,Demon,1,1,0,1.0
NHL,Power Play Points,B,Demon,1,1,0,1.0
SOCCER,Attempted Dribbles,C,Standard,1,1,0,1.0
SOCCER,Goal + Assist,A,Standard,1,1,0,1.0
SOCCER,Goal + Assist,C,Standard,1,1,0,1.0
SOCCER,Goals,A,Standard,1,1,0,1.0
SOCCER,Goals,D,Standard,1,1,0,1.0
SOCCER,Goals Allowed,A,Demon,1,1,0,1.0
SOCCER,Goals Allowed,A,Standard,1,1,0,1.0
SOCCER,Goals Allowed,B,Goblin,1,1,0,1.0
SOCCER,Goals Allowed,C,Standard,1,1,0,1.0
SOCCER,Shots On Target,D,Standard,1,1,0,1.0
CBB,fantasy,D,Goblin,1,0,1,0.0
MLB,Hits Allowed,C,Standard,1,0,1,0.0
MLB,Pitching Outs,B,Standard,1,0,1,0.0
MLB,Pitching Outs,C,Standard,1,0,1,0.0
NBA,Blocked Shots,A,Demon,1,0,1,0.0
NBA,Turnovers,A,Demon,1,0,1,0.0
SOCCER,Shots,C,Standard,1,0,1,0.0
SOCCER,Tackles,B,Goblin,1,0,1,0.0
