sport,player,prop_type,direction,pick_type,line,edge,rank_score,tier,hit_prob_over,hit_prob_under,hit_prob_selected,hit_prob_actionable,leg_prob_used,prop_quality_score,rank_read_score,data_completeness_score,pick_type_eligible,distribution_std,distribution_n,std_norm,confidence_score,calibration_bucket,calibration_actual_hit_rate,calibration_n,read_fields_missing
MLB,Otto Lopez,Hits+Runs+RBIs,OVER,Goblin,1.5,1.3,5.92,B,1.0,0.0,1.0,1.0,1.0,0.526562540544632,0.6942666666666666,0.8,True,1.7,10,0.6409122055386156,0.5940688378059673,,,,"[""confidence_score"", ""calibration_bucket""]"
WNBA,Jackie Young,Assists,OVER,Goblin,3.5,2.4,5.91,B,0.8,0.2,0.8,0.8,0.8,0.6880081215896415,0.6476,0.8,True,2.3748684174075834,10,0.6972853766943088,0.6364814983827973,7,0.526066,1266.0,"[""confidence_score"", ""calibration_bucket""]"
MLB,Randy Vásquez,Pitching Outs,OVER,Goblin,14.5,1.5,5.89,A,0.8,0.2,0.8,0.8,0.8,0.5768069918798069,0.6304,0.8,True,2.4919871588754225,10,0.6899201004122396,0.5994024220548725,5,0.566788,5510.0,"[""confidence_score"", ""calibration_bucket""]"
MLB,Nathan Eovaldi,Pitcher Strikeouts,OVER,Goblin,4.5,1.9,5.84,C,0.8,0.2,0.8,0.8,0.8,0.5523546628376536,0.6078666666666666,0.8,True,1.7578395831246947,10,0.5661213095831248,0.6217938045973976,5,0.566788,5510.0,"[""confidence_score"", ""calibration_bucket""]"
MLB,Michael Busch,Total Bases,OVER,Goblin,0.5,1.7,5.8,B,1.0,0.0,1.0,1.0,1.0,0.5316623214666211,0.7017333333333333,0.8,True,1.9209372712298547,10,0.7692372938425674,0.5637724890526755,,,,"[""confidence_score"", ""calibration_bucket""]"
MLB,Wade Meckler,Hits+Runs+RBIs,OVER,Goblin,0.5,2.0,5.78,C,0.8,0.0,0.8,0.8,0.8,0.4840696931307343,0.6097333333333332,0.8,True,2.0615528128088303,4,0.7772202118186142,0.5451193396411035,5,0.566788,5510.0,"[""confidence_score"", ""calibration_bucket""]"
WNBA,Angel Reese,Steals,OVER,Goblin,0.5,0.85,5.76,A,0.4,0.6,0.4,0.4,0.4,0.5163082218445108,0.4694666666666667,0.8,False,1.4866068747318506,10,0.9632628546912052,0.5098921639727775,2,0.343599,2273.0,"[""confidence_score"", ""calibration_bucket""]"
MLB,Noah Cameron,Pitcher Strikeouts,OVER,Goblin,3.5,1.5,5.73,C,1.0,0.0,1.0,1.0,1.0,0.512267462332101,0.6819999999999999,0.8,True,1.32664991614216,10,0.4272544520528447,0.6424799988030242,,,,"[""confidence_score"", ""calibration_bucket""]"
MLB,Wade Meckler,Total Bases,OVER,Goblin,0.5,1.75,5.72,B,0.8,0.0,0.8,0.8,0.8,0.4960054877427399,0.6210666666666667,0.8,True,1.6393596310755,4,0.656479826348464,0.579481964122843,5,0.566788,5510.0,"[""confidence_score"", ""calibration_bucket""]"
MLB,Seiya Suzuki,Hits+Runs+RBIs,OVER,Goblin,0.5,2.5,5.69,C,0.8,0.2,0.8,0.8,0.8,0.5601656203226218,0.6190666666666667,0.8,True,2.0518284528683193,10,0.7735540583027765,0.5726694525372236,5,0.566788,5510.0,"[""confidence_score"", ""calibration_bucket""]"
MLB,Dansby Swanson,Hitter Fantasy Score,OVER,Goblin,1.5,3.9,5.69,B,1.0,0.0,1.0,1.0,1.0,0.5631989536559552,0.7428,0.8,True,3.689173349139343,10,0.3736784742630744,0.6737000152138157,,,,"[""confidence_score"", ""calibration_bucket""]"
MLB,Ceddanne Rafaela,Total Bases,OVER,Goblin,0.5,2.3,5.68,B,0.8,0.2,0.8,0.8,0.8,0.5731646113455007,0.6313333333333333,0.8,True,2.0024984394500787,10,0.8018983771918405,0.5701330196729651,5,0.566788,5510.0,"[""confidence_score"", ""calibration_bucket""]"
