sport,player,prop_type,direction,pick_type,line,edge,rank_score,tier,hit_prob_over,hit_prob_under,hit_prob_selected,hit_prob_actionable,leg_prob_used,prop_quality_score,rank_read_score,implied_prob,implied_prob_over,implied_prob_under,cross_edge,data_completeness_score,pick_type_eligible,distribution_std,distribution_n,std_norm,confidence_score,calibration_bucket,calibration_actual_hit_rate,calibration_n,read_fields_missing
MLB,Michael Busch,Hits+Runs+RBIs,OVER,Goblin,0.5,2.5,6.22,B,1.0,0.0,1.0,1.0,1.0,0.545950923064745,0.7166666666666667,,,,,0.8,True,2.5841,10,0.8915916226753614,0.5381849174038205,,,,[]
Tennis,Kajsa Rinaldo Persson,Total Games Won,OVER,Goblin,11.5,-0.5,6.2,D,0.6,0.2,0.6,0.6,0.6,0.5743788929060014,0.41233333333333333,,,,,0.9,True,2.708,4,0.49858231763449573,0.6863870331084767,,,,[]
Tennis,Lucie Havlickova,Total Games,OVER,Goblin,19.5,6.75,6.2,D,0.6,0.2,0.6,0.6,0.6,0.6660455595726681,0.529,,,,,0.9,True,6.1305,4,0.8341724269308224,0.6345728391177282,,,,[]
Tennis,Rebeka Masarova,Double Faults,OVER,Goblin,3.5,2.5,6.2,D,0.8,0.2,0.8,0.8,0.8,0.6502122262393347,0.5384666666666666,,,,,0.9,True,3.0111,10,0.9338655352723354,0.6041078953656833,,,,[]
WNBA,Rhyne Howard,Points,OVER,Goblin,11.5,7.2,6.08,A,0.8,0.2,0.8,0.8,0.8,0.7734470282263124,0.6811999999999999,0.5122,0.5122,0.5575,0.28780000000000006,0.8,True,9.4021,10,1.0,0.5907064598792093,7,0.526066,1266.0,[]
MLB,Carlos Rodón,Pitcher Strikeouts,OVER,Goblin,3.5,2.17,6.08,C,0.6,0.0,0.6,0.6,0.6,0.4519236948929791,0.46130666666666664,,,,,0.8,True,1.5275,3,0.4676974892835273,0.6112489208916609,5,0.566788,5510.0,[]
MLB,Andy Pages,Hits+Runs+RBIs,OVER,Goblin,0.5,3.9,6.05,B,0.8,0.2,0.8,0.8,0.8,0.5989929489076811,0.6611999999999999,,,,,0.8,True,3.414,10,1.0,0.5296475321176884,5,0.566788,5510.0,[]
Tennis,Alexandra Eala,Total Games,OVER,Goblin,17.5,4.1,6.0,D,0.8,0.2,0.8,0.8,0.8,0.6724987940345489,0.5683333333333335,,,,,0.9,True,4.7796,10,0.6503565013879062,0.6827854525651156,,,,[]
Tennis,Ashlyn Krueger,Total Games,OVER,Standard,21.5,2.9,6.0,D,0.8,0.2,0.8,0.8,0.8,0.6548987940345489,0.5459333333333333,,,,,0.9,True,4.2479,10,0.5780084907200783,0.6947124552320725,,,,[]
WNBA,Kelsey Mitchell,Turnovers,UNDER,Standard,2.0,-0.65,5.94,D,0.0,0.6,0.6,0.6,0.6,0.3275290893122162,0.4779333333333333,,,,,0.8,True,0.8498,10,0.3826032146233848,0.5889843776034295,4,0.458176,1853.0,[]
WNBA,Jordin Canada,Assists,OVER,Goblin,4.5,2.4,5.86,C,0.8,0.2,0.8,0.8,0.8,0.6716912265041843,0.5616,0.4926,0.4926,0.5833,0.30740000000000006,0.8,True,3.5901,10,1.0,0.5550919292764646,7,0.526066,1266.0,[]
Tennis,Rebeka Masarova,Total Games,OVER,Goblin,19.5,4.7,5.8,D,0.8,0.2,0.8,0.8,0.8,0.6800373214666211,0.5723333333333334,,,,,0.9,True,6.1788,10,0.8407445708376422,0.6378269198039068,,,,[]
Tennis,Marta Kostyuk,Double Faults,OVER,Goblin,3.5,0.9,5.8,D,0.8,0.2,0.8,0.8,0.8,0.6243039881332878,0.5086,,,,,0.9,True,1.767,10,0.5480191294962693,0.6915016134725834,,,,[]
Tennis,Marta Kostyuk,Double Faults,OVER,Goblin,2.5,1.9,5.8,D,0.8,0.2,0.8,0.8,0.8,0.6389706547999544,0.5272666666666667,,,,,0.9,True,1.767,10,0.5480191294962693,0.6966349468059168,,,,[]
WNBA,Nia Coffey,Points,OVER,Goblin,5.5,5.2,5.78,A,1.0,0.0,1.0,1.0,1.0,0.8382398685693307,0.6906666666666667,0.5595,0.5595,0.5098,0.4405,0.8,True,5.3707,10,0.6348570280269986,0.7046696969925161,,,,[]
MLB,Michael Busch,Total Bases,OVER,Goblin,0.5,1.7,5.75,B,1.0,0.0,1.0,1.0,1.0,0.5313337411303621,0.7017333333333333,0.4975,0.4975,0.5745,0.5025,0.8,True,2.0248,10,0.7234529083893096,0.5751035822982994,,,,[]
MLB,Angel Martínez,Hitter Fantasy Score,UNDER,Standard,5.0,-3.6,5.74,B,0.0,0.8,0.8,0.8,0.8,0.5077458857981512,0.6556,,,,,0.8,True,3.7357,10,0.3444025481934931,0.6616104229809796,5,0.566788,5510.0,[]
Tennis,Tatiana Prozorova,Double Faults,OVER,Goblin,2.5,0.1,5.71,D,0.6,0.4,0.6,0.6,0.6,0.5159753123739313,0.41206666666666664,,,,,0.9,True,1.8708,9,0.5802117642680367,0.6455384182638668,,,,[]
MLB,Brayan Bello,Hits Allowed,OVER,Goblin,3.5,2.1,5.7,B,1.0,0.0,1.0,1.0,1.0,0.5368664093765686,0.7091999999999999,0.5238,0.5238,0.5455,0.47619999999999996,0.8,True,2.7909,10,0.9127687547831322,0.529711054586016,,,,[]
WNBA,Rhyne Howard,Steals,OVER,Standard,1.5,1.15,5.68,A,0.6,0.4,0.6,0.6,0.6,0.5861729446788341,0.4722666666666667,,,,,0.8,True,1.7029,10,1.0,0.5251605306375919,4,0.458176,1853.0,[]
MLB,Marcell Ozuna,Hitter Fantasy Score,OVER,Goblin,1.5,4.9,5.68,B,1.0,0.0,1.0,1.0,1.0,0.577797944678834,0.7614666666666666,,,,,0.8,True,9.1748,10,0.8458453567378698,0.5607679414531246,,,,[]
MLB,J.T. Ginn,Pitcher Strikeouts,OVER,Goblin,2.5,3.3,5.67,C,1.0,0.0,1.0,1.0,1.0,0.5382633819119954,0.6035999999999999,,,,,0.8,True,2.7588,10,0.8447030006123698,0.547216433516106,,,,[]
MLB,Dansby Swanson,Hitter Fantasy Score,OVER,Goblin,1.5,3.9,5.65,B,1.0,0.0,1.0,1.0,1.0,0.5629269262099681,0.7428,,,,,0.8,True,3.8887,10,0.35850796079985986,0.677397433973524,,,,[]
