player_id,player_name_pp,team_pp,nba_player_id,nba_player_name,resolver
2990992,Marcus Smart,LAL,203935,Marcus Smart,espn_name_strict
4683686,Nick Smith Jr.,LAL,1641733,Nick Smith Jr.,espn_name_strict
5060631,Adou Thiero,LAL,1642876,Adou Thiero,espn_name_strict
4278077,Jarred Vanderbilt,LAL,1629020,Jarred Vanderbilt,espn_name_strict
4593125,Santi Aldama,MEM,1630583,Santi Aldama,espn_name_strict
2993874,Kyle Anderson,MEM,203937,Kyle Anderson,espn_name_strict
2581018,Kentavious Caldwell-Pope,MEM,203484,Kentavious Caldwell-Pope,espn_name_strict
3906665,Brandon Clarke,MEM,1629634,Brandon Clarke,espn_name_strict
4896372,Walter Clayton Jr.,MEM,1642383,Walter Clayton Jr.,espn_name_strict
4903027,Cedric Coward,MEM,1642907,Cedric Coward,espn_name_strict
4600663,Zach Edey,MEM,1641744,Zach Edey,espn_name_strict
4684806,Taylor Hendricks,MEM,1641707,Taylor Hendricks,espn_name_strict
5105550,GG Jackson,MEM,1641713,GG Jackson,espn_name_strict
4065733,Ty Jerome,MEM,1629660,Ty Jerome,espn_name_strict
4279888,Ja Morant,MEM,1629630,Ja Morant,espn_name_strict
4431785,Scotty Pippen Jr.,MEM,1630590,Scotty Pippen Jr.,espn_name_strict
4595400,Olivier-Maxence Prosper,MEM,1641765,Olivier-Maxence Prosper,espn_name_strict
4781746,Javon Small,MEM,1642914,Javon Small,espn_name_strict
4433083,Cam Spencer,MEM,1642285,Cam Spencer,espn_name_strict
5112087,Jaylen Wells,MEM,1642377,Jaylen Wells,espn_name_strict
4066261,Bam Adebayo,MIA,1628389,Bam Adebayo,espn_name_strict
3899664,Simone Fontecchio,MIA,1631323,Simone Fontecchio,espn_name_strict
4431772,Myron Gardner,MIA,1642066,Myron Gardner,espn_name_strict
4700818,Vladislav Goldin,MIA,1642884,Vladislav Goldin,espn_name_strict
4395725,Tyler Herro,MIA,1629639,Tyler Herro,espn_name_strict
4432848,Jaime Jaquez Jr.,MIA,1631170,Jaime Jaquez Jr.,espn_name_strict
4431786,Keshad Johnson,MIA,1642352,Keshad Johnson,espn_name_strict
4601025,Pelle Larsson,MIA,1641796,Pelle Larsson,espn_name_strict
4278053,Davion Mitchell,MIA,1630558,Davion Mitchell,espn_name_strict
2595516,Norman Powell,MIA,1626181,Norman Powell,espn_name_strict
3074752,Terry Rozier,MIA,1626179,Terry Rozier,espn_name_strict
4066993,Dru Smith,MIA,1630696,Dru Smith,espn_name_strict
5105623,Kel'el Ware,MIA,1642276,Kel'el Ware,espn_name_strict
3059319,Andrew Wiggins,MIA,203952,Andrew Wiggins,espn_name_strict
4433133,Jahmir Young,MIA,1642443,Jahmir Young,espn_name_strict
4432452,Alex Antetokounmpo,MIL,1630828,Alex Antetokounmpo,espn_name_strict
3032977,Giannis Antetokounmpo,MIL,203507,Giannis Antetokounmpo,espn_name_strict
3102533,Thanasis Antetokounmpo,MIL,203648,Thanasis Antetokounmpo,espn_name_strict
4997526,Ousmane Dieng,MIL,1631172,Ousmane Dieng,espn_name_strict
4397475,AJ Green,MIL,1631260,AJ Green,espn_name_strict
2999547,Gary Harris,MIL,203914,Gary Harris,espn_name_strict
4432190,Andre Jackson Jr.,MIL,1641748,Andre Jackson Jr.,espn_name_strict
3134907,Kyle Kuzma,MIL,1628398,Kyle Kuzma,espn_name_strict
4397233,Pete Nance,MIL,1631250,Pete Nance,espn_name_strict
4397140,Kevin Porter Jr.,MIL,1629645,Kevin Porter Jr.,espn_name_strict
3064482,Bobby Portis,MIL,1626171,Bobby Portis,espn_name_strict
2990962,Taurean Prince,MIL,1627752,Taurean Prince,espn_name_strict
4591725,Ryan Rollins,MIL,1631157,Ryan Rollins,espn_name_strict
4277922,Jericho Sims,MIL,1630579,Jericho Sims,espn_name_strict
4432174,Cam Thomas,MIL,1630560,Cam Thomas,espn_name_strict
