projection_id,player_id,player_name,team,position,stat_type,line_score,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,stat_norm,player_role,opponent,is_home,nhl_player_id,combo_prop,combo_player_ids,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_gp,def_rank,def_tier,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,hit_rate_over_L5,over_L5,under_L5,sample_L5,hit_rate_over_L10,over_L10,under_L10,sample_L10,hit_rate_over_L20,over_L20,under_L20,sample_L20,hit_rate_over_season,sample_season,composite_hit_rate,recommended_side,edge
10972603,182263,Dmitri Voronkov,CBJ,F,Goals,0.5,demon,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,goals,SKATER,CAR,1,8481716,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.1,2,18,20,0.1667,30,0.0317,OVER,-0.4683
10977505,218255,Adam Fantilli,CBJ,F,Assists,0.5,demon,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,assists,SKATER,CAR,1,8484166,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.4,2,3,5,0.5,5,5,10,0.5,10,10,20,0.5333,30,0.4633,OVER,-0.0367
10977506,218255,Adam Fantilli,CBJ,F,Points,0.5,goblin,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,points,SKATER,CAR,1,8484166,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.4,2,3,5,0.7,7,3,10,0.7,14,6,20,0.6667,30,0.5767,OVER,0.0767
10977507,218255,Adam Fantilli,CBJ,F,Power Play Points,0.5,demon,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,power_play_points,SKATER,CAR,1,8484166,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.0,0,5,5,0.1,1,9,10,0.05,1,19,20,0.0333,30,0.0458,OVER,-0.4542
10977509,268899,Alexander Nikishin,CAR,D,Power Play Points,0.5,demon,False,CBJ,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,power_play_points,SKATER,CBJ,0,8482100,False,,3.118,0.0,0.0,3.279,0.0,0.0,68.0,19.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.0,0,5,5,0.1,1,9,10,0.1,2,18,20,0.1,30,0.06,OVER,-0.44
10977510,218693,Andrei Svechnikov,CAR,F,Assists,0.5,demon,False,CBJ,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,assists,SKATER,CBJ,0,8480830,False,,3.118,0.0,0.0,3.279,0.0,0.0,68.0,19.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.4,2,3,5,0.4,4,6,10,0.45,9,11,20,0.4,30,0.4075,OVER,-0.0925
10977511,218693,Andrei Svechnikov,CAR,F,Power Play Points,0.5,demon,False,CBJ,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,power_play_points,SKATER,CBJ,0,8480830,False,,3.118,0.0,0.0,3.279,0.0,0.0,68.0,19.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.2,1,4,5,0.1,1,9,10,0.1,2,18,20,0.1667,30,0.1467,OVER,-0.3533
10977513,57978,Boone Jenner,CBJ,F,Points,0.5,demon,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,points,SKATER,CAR,1,8476432,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.4,2,3,5,0.4,4,6,10,0.4,8,12,20,0.3667,30,0.3967,OVER,-0.1033
10977515,265265,Charlie Coyle,CBJ,F,Assists,0.5,demon,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,assists,SKATER,CAR,1,8475745,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.1,1,9,10,0.45,9,11,20,0.4333,30,0.1458,OVER,-0.3542
10977516,265265,Charlie Coyle,CBJ,F,Points,0.5,standard,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,points,SKATER,CAR,1,8475745,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.2,1,4,5,0.2,2,8,10,0.55,11,9,20,0.5667,30,0.2892,UNDER,0.2108
10977517,265265,Charlie Coyle,CBJ,F,Power Play Points,0.5,demon,False,CAR,CAR,CBJ,2026-03-31T19:30:00.000-04:00,140145,2026-03-31T11:33:13Z,power_play_points,SKATER,CAR,1,8475745,False,,2.971,0.0,0.0,3.551,0.0,0.0,69.0,10.0,SOLID,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.2,1,4,5,0.2,2,8,10,0.1,2,18,20,0.2,30,0.185,OVER,-0.315
