projection_id,player_id,player_name,team,position,stat_type,line_score,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,stat_norm,player_role,opponent,is_home,nhl_player_id,combo_prop,combo_player_ids,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_gp,def_rank,def_tier,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,hit_rate_over_L5,over_L5,under_L5,sample_L5,hit_rate_over_L10,over_L10,under_L10,sample_L10,hit_rate_over_L20,over_L20,under_L20,sample_L20,hit_rate_over_season,sample_season,composite_hit_rate,recommended_side,edge,position_code,position_group,scoring_tier,pp_tier,pts_per_game,goals_per_game,pp_pts_per_game,toi_per_game_api
10803681,172192,Ridly Greig,OTT,F,Shots On Goal,2.5,demon,False,NYR,OTT,NYR,2026-03-23T19:30:00.000-04:00,138257,2026-03-23T13:32:53Z,shots_on_goal,SKATER,NYR,0,8482092,False,,3.203,0.0,0.0,2.841,0.0,0.0,69.0,22.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.4,2,3,5,0.2,2,8,10,0.25,5,15,20,0.2667,30,0.2942,OVER,-0.2058,C,F,DEPTH,NO_PP,0.438,0.172,0.047,16.6
10803688,218269,Thomas Chabot,OTT,D,Blocked Shots,2.5,demon,False,NYR,OTT,NYR,2026-03-23T19:30:00.000-04:00,138257,2026-03-23T13:32:53Z,blocked_shots,SKATER,NYR,0,8478469,False,,3.203,0.0,0.0,2.841,0.0,0.0,69.0,22.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,OVER,-0.5,D,D,SECONDARY,PP_OCC,0.574,0.13,0.13,22.8
10803900,218268,Brady Tkachuk,OTT,F,Points,2.5,demon,False,NYR,OTT,NYR,2026-03-23T19:30:00.000-04:00,138257,2026-03-23T13:32:53Z,points,SKATER,NYR,0,8480801,False,,3.203,0.0,0.0,2.841,0.0,0.0,69.0,22.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.1,1,9,10,0.15,3,17,20,0.1,30,0.0675,OVER,-0.4325,L,F,ELITE,PP_REGULAR,0.959,0.388,0.327,17.0
10803905,305145,Warren Foegele,OTT,F,Shots On Goal,2.5,demon,False,NYR,OTT,NYR,2026-03-23T19:30:00.000-04:00,138257,2026-03-23T13:32:53Z,shots_on_goal,SKATER,NYR,0,8477998,False,,3.203,0.0,0.0,2.841,0.0,0.0,69.0,22.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.2,1,4,5,0.2,2,8,10,0.3,6,14,20,0.2667,30,0.2217,OVER,-0.2783,L,F,SECONDARY,NO_PP,0.625,0.5,0.0,11.42
10807195,218339,Linus Ullmark,OTT,G,Goals Allowed,2.5,demon,False,NYR,OTT,NYR,2026-03-23T19:30:00.000-04:00,138257,2026-03-23T13:32:53Z,goals_allowed,GOALIE,NYR,0,8476999,False,,3.203,0.0,0.0,2.841,0.0,0.0,69.0,22.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.6,3,2,5,0.4,4,6,10,0.4,8,12,20,0.4667,30,0.4867,OVER,-0.0133,G,G,GOALIE,N/A,0.0,0.0,0.0,
10793871,59488,Alexis Lafreniere,NYR,F,Shots On Goal,1.5,goblin,False,OTT,OTT,NYR,2026-03-23T19:30:00.000-04:00,138257,2026-03-23T13:32:53Z,shots_on_goal,SKATER,OTT,1,8482109,False,,3.103,0.0,0.0,3.368,0.0,0.0,68.0,17.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.6,3,2,5,0.6,6,4,10,0.6,12,8,20,0.6,30,0.6,OVER,0.1,L,F,SECONDARY,PP_OCC,0.671,0.286,0.129,17.43
10793909,218655,Mika Zibanejad,NYR,F,Shots On Goal,1.5,goblin,False,OTT,OTT,NYR,2026-03-23T19:30:00.000-04:00,138257,2026-03-23T13:32:53Z,shots_on_goal,SKATER,OTT,1,8476459,False,,3.103,0.0,0.0,3.368,0.0,0.0,68.0,17.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.8,4,1,5,0.7,7,3,10,0.7,14,6,20,0.6333,30,0.7333,OVER,0.2333,C,F,ELITE,PP1_STAR,0.971,0.435,0.435,21.0
10793921,218269,Thomas Chabot,OTT,D,Shots On Goal,1.5,goblin,False,NYR,OTT,NYR,2026-03-23T19:30:00.000-04:00,138257,2026-03-23T13:32:53Z,shots_on_goal,SKATER,NYR,0,8478469,False,,3.203,0.0,0.0,2.841,0.0,0.0,69.0,22.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.8,4,1,5,0.7,7,3,10,0.75,15,5,20,0.7333,30,0.7508,OVER,0.2508,D,D,SECONDARY,PP_OCC,0.574,0.13,0.13,22.8
10801827,218662,Claude Giroux,OTT,F,Shots On Goal,1.5,standard,False,NYR,OTT,NYR,2026-03-23T19:30:00.000-04:00,138257,2026-03-23T13:32:53Z,shots_on_goal,SKATER,NYR,0,8473512,False,,3.203,0.0,0.0,2.841,0.0,0.0,69.0,22.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.4,2,3,5,0.2,2,8,10,0.3,6,14,20,0.4,30,0.315,UNDER,0.185,R,F,SECONDARY,PP_OCC,0.623,0.174,0.145,16.55
10801852,172192,Ridly Greig,OTT,F,Shots On Goal,1.5,standard,False,NYR,OTT,NYR,2026-03-23T19:30:00.000-04:00,138257,2026-03-23T13:32:53Z,shots_on_goal,SKATER,NYR,0,8482092,False,,3.203,0.0,0.0,2.841,0.0,0.0,69.0,22.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.4,2,3,5,0.3,3,7,10,0.4,8,12,20,0.5,30,0.375,UNDER,0.125,C,F,DEPTH,NO_PP,0.438,0.172,0.047,16.6
10801859,218269,Thomas Chabot,OTT,D,Blocked Shots,1.5,goblin,False,NYR,OTT,NYR,2026-03-23T19:30:00.000-04:00,138257,2026-03-23T13:32:53Z,blocked_shots,SKATER,NYR,0,8478469,False,,3.203,0.0,0.0,2.841,0.0,0.0,69.0,22.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,OVER,-0.5,D,D,SECONDARY,PP_OCC,0.574,0.13,0.13,22.8
10801868,305145,Warren Foegele,OTT,F,Shots On Goal,1.5,standard,False,NYR,OTT,NYR,2026-03-23T19:30:00.000-04:00,138257,2026-03-23T13:32:53Z,shots_on_goal,SKATER,NYR,0,8477998,False,,3.203,0.0,0.0,2.841,0.0,0.0,69.0,22.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.4,2,3,5,0.6,6,4,10,0.55,11,9,20,0.5,30,0.5025,OVER,0.0025,L,F,SECONDARY,NO_PP,0.625,0.5,0.0,11.42
10801869,218685,Will Cuylle,NYR,F,Shots On Goal,1.5,standard,False,OTT,OTT,NYR,2026-03-23T19:30:00.000-04:00,138257,2026-03-23T13:32:53Z,shots_on_goal,SKATER,OTT,1,8482157,False,,3.103,0.0,0.0,3.368,0.0,0.0,68.0,17.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.8,4,1,5,0.7,7,3,10,0.6,12,8,20,0.5,30,0.705,OVER,0.205,L,F,DEPTH,PP_OCC,0.457,0.229,0.114,17.13
10801873,59488,Alexis Lafreniere,NYR,F,Points,1.5,demon,False,OTT,OTT,NYR,2026-03-23T19:30:00.000-04:00,138257,2026-03-23T13:32:53Z,points,SKATER,OTT,1,8482109,False,,3.103,0.0,0.0,3.368,0.0,0.0,68.0,17.0,AVERAGE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.2,1,4,5,0.2,2,8,10,0.25,5,15,20,0.2,30,0.2075,OVER,-0.2925,L,F,SECONDARY,PP_OCC,0.671,0.286,0.129,17.43
