rank,tier,player,team,opp,is_home,player_role,position_group,prop_display,prop_type,line,direction,composite_hr,hit_rate,hr_L5,hr_L10,hr_L20,hr_season,sample_L5,hit_L5,sample_L10,hit_L10,sample_L20,sample_season,avg_L5,avg_L10,avg_L20,avg_season,gap_vs_line_L5,gap_vs_line_L10,projection,over_L5_raw,under_L5_raw,over_L10_raw,under_L10_raw,last1_raw,last2_raw,last3_raw,games_played,scoring_tier,pp_tier,def_tier,def_rank,opp_gaa,opp_saa,opp_pk_pct,pts_per_game,pp_pts_per_game,toi_avg_L10,toi_per_game_api,prop_score,edge,ml_prob,edge_score,blended_score,pick_type,game_start,game_script_mult,game_script_note
205,D,Jimmy Snuggerud,STL,ANA,0,SKATER,F,Points,points,1.5,OVER,0.1808,0.1808,0.0,0.3,0.35,0.2333,5,0/5,10,3/10,20,30,,,,,,,,0,5,3,7,,,,,SECONDARY,PP_OCC,WEAK,29,3.435,0.000,0.000,0.629,0.129,,16.55,0.03001,-0.3192,0.0455,,,demon,2026-04-03T22:00:00.000-04:00,0.981,"STL -1.5 pt margin vs ANA, points: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)"
206,D,Matthew Schaefer,NYI,PHI,1,SKATER,D,Power Play Points,power_play_points,0.5,OVER,0.1367,0.1367,0.2,0.1,0.1,0.0667,5,1/5,10,1/10,20,30,,,,,,,,1,4,1,9,,,,,SECONDARY,PP_REGULAR,SOLID,14,3.088,0.000,0.000,0.750,0.237,,24.55,0.02977,-0.3633,0.2388,,,demon,2026-04-03T19:00:00.000-04:00,1.000,"NYI +1.5 pt margin vs PHI, power_play_points: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
207,D,Emil Heineman,NYI,PHI,1,SKATER,F,Shots On Goal,shots_on_goal,3.5,OVER,0.2492,0.2492,0.2,0.3,0.25,0.2667,5,1/5,10,3/10,20,30,,,,,,,,1,4,3,7,,,,,DEPTH,NO_PP,SOLID,14,3.088,0.000,0.000,0.395,0.039,,16.78,0.02946,-0.2508,0.0455,,,demon,2026-04-03T19:00:00.000-04:00,1.000,"NYI +1.5 pt margin vs PHI, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
208,D,Owen Tippett,PHI,NYI,0,SKATER,F,Points,points,1.5,OVER,0.2692,0.2692,0.4,0.2,0.15,0.1667,5,2/5,10,2/10,20,30,,,,,,,,2,3,2,8,,,,,SECONDARY,PP_OCC,ELITE,5,2.826,0.000,0.000,0.653,0.093,,16.87,0.02896,-0.2308,0.0455,,,demon,2026-04-03T19:00:00.000-04:00,0.981,"PHI -1.5 pt margin vs NYI, points: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)"
209,D,Robert Thomas,STL,ANA,0,SKATER,F,Goals,goals,0.5,OVER,0.145,0.145,0.0,0.2,0.3,0.3,5,0/5,10,2/10,20,30,,,,,,,,0,5,2,8,,,,,SECONDARY,PP_OCC,WEAK,29,3.435,0.000,0.000,0.893,0.196,,19.00,0.02772,-0.3550,0.1818,,,demon,2026-04-03T22:00:00.000-04:00,0.980,"STL -1.5 pt margin vs ANA, goals: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)"
210,D,Troy Terry,ANA,STL,1,SKATER,F,Shots On Goal,shots_on_goal,3.5,OVER,0.1575,0.1575,0.2,0.1,0.15,0.2,5,1/5,10,1/10,20,30,,,,,,,,1,4,1,9,,,,,ELITE,PP_OCC,AVERAGE,24,3.294,0.000,0.000,1.000,0.167,,18.32,0.02766,-0.3425,0.0455,,,demon,2026-04-03T22:00:00.000-04:00,1.000,"ANA +1.5 pt margin vs STL, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
211,D,Jackson LaCombe,ANA,STL,1,SKATER,D,Power Play Points,power_play_points,0.5,OVER,0.1367,0.1367,0.2,0.1,0.1,0.0667,5,1/5,10,1/10,20,30,,,,,,,,1,4,1,9,,,,,SECONDARY,PP_REGULAR,AVERAGE,24,3.294,0.000,0.000,0.720,0.200,,24.30,0.02682,-0.3633,0.1818,,,demon,2026-04-03T22:00:00.000-04:00,1.000,"ANA +1.5 pt margin vs STL, power_play_points: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
212,D,Anthony Duclair,NYI,PHI,1,SKATER,F,Assists,assists,0.5,OVER,0.1925,0.1925,0.2,0.2,0.15,0.2,5,1/5,10,2/10,20,30,,,,,,,,1,4,2,8,,,,,DEPTH,PP_OCC,SOLID,14,3.088,0.000,0.000,0.443,0.098,,13.23,0.02633,-0.3075,0.2132,,,demon,2026-04-03T19:00:00.000-04:00,1.000,"NYI +1.5 pt margin vs PHI, assists: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
213,D,Jordan Kyrou,STL,ANA,0,SKATER,F,Points,points,1.5,OVER,0.1617,0.1617,0.2,0.1,0.2,0.1667,5,1/5,10,1/10,20,30,,,,,,,,1,4,1,9,,,,,SECONDARY,PP_REGULAR,WEAK,29,3.435,0.000,0.000,0.625,0.203,,15.88,0.02407,-0.3383,0.0455,,,demon,2026-04-03T22:00:00.000-04:00,0.981,"STL -1.5 pt margin vs ANA, points: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)"
214,D,Matthew Schaefer,NYI,PHI,1,SKATER,D,Shots On Goal,shots_on_goal,5.5,OVER,0.1717,0.1717,0.2,0.2,0.1,0.0667,5,1/5,10,2/10,20,30,,,,,,,,1,4,2,8,,,,,SECONDARY,PP_REGULAR,SOLID,14,3.088,0.000,0.000,0.750,0.237,,24.55,0.02293,-0.3283,0.0851,,,demon,2026-04-03T19:00:00.000-04:00,1.000,"NYI +1.5 pt margin vs PHI, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
215,D,Jake Neighbours,STL,ANA,0,SKATER,F,Assists,assists,0.5,OVER,0.1892,0.1892,0.2,0.2,0.15,0.1667,5,1/5,10,2/10,20,30,,,,,,,,1,4,2,8,,,,,DEPTH,PP_OCC,WEAK,29,3.435,0.000,0.000,0.492,0.082,,15.28,0.02050,-0.3108,0.0851,,,demon,2026-04-03T22:00:00.000-04:00,0.982,"STL -1.5 pt margin vs ANA, assists: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)"
216,D,Leo Carlsson,ANA,STL,1,SKATER,F,Shots On Goal,shots_on_goal,3.5,OVER,0.1383,0.1383,0.0,0.2,0.3,0.2333,5,0/5,10,2/10,20,30,,,,,,,,0,5,2,8,,,,,ELITE,PP_REGULAR,AVERAGE,24,3.294,0.000,0.000,1.000,0.270,,19.17,0.02001,-0.3617,0.0455,,,demon,2026-04-03T22:00:00.000-04:00,1.000,"ANA +1.5 pt margin vs STL, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
217,D,Chris Kreider,ANA,STL,1,SKATER,F,Shots On Goal,shots_on_goal,2.5,OVER,0.165,0.165,0.2,0.1,0.2,0.2,5,1/5,10,1/10,20,30,,,,,,,,1,4,1,9,,,,,SECONDARY,PP_REGULAR,AVERAGE,24,3.294,0.000,0.000,0.681,0.246,,17.13,0.01995,-0.3350,0.0455,,,demon,2026-04-03T22:00:00.000-04:00,1.000,"ANA +1.5 pt margin vs STL, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
218,D,Brayden Schenn,NYI,PHI,1,SKATER,F,Shots On Goal,shots_on_goal,3.5,OVER,0.1825,0.1825,0.2,0.2,0.15,0.1,5,1/5,10,2/10,20,30,,,,,,,,1,4,2,8,,,,,SECONDARY,PP_REGULAR,SOLID,14,3.088,0.000,0.000,0.769,0.231,,16.57,0.01968,-0.3175,0.0455,,,demon,2026-04-03T19:00:00.000-04:00,1.000,"NYI +1.5 pt margin vs PHI, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
219,D,Pavel Buchnevich,STL,ANA,0,SKATER,F,Points,points,1.5,OVER,0.1617,0.1617,0.2,0.1,0.2,0.1667,5,1/5,10,1/10,20,30,,,,,,,,1,4,1,9,,,,,SECONDARY,PP_OCC,WEAK,29,3.435,0.000,0.000,0.595,0.189,,18.15,0.01755,-0.3383,0.0455,,,demon,2026-04-03T22:00:00.000-04:00,0.981,"STL -1.5 pt margin vs ANA, points: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)"
