player_norm,espn_athlete_id
hiroki ito,97111
maycon cardozo,417373
marc casado,345489
robert lewandowski,125824
wojciech szczesny,131634
sean neave,358245
eric garcia,128714
marc bernal,376423
anthony elanga,296622
dani olmo,227765
nick woltemade,298349
pedri,250465
roony bardghji,331152
william osula,319431
yoane wissa,224077
alex murphy,346874
dan burn,198138
gerard martin,312015
jacob murphy,172836
jacob ramsey,286090
joelinton,202232
joe willock,259517
joao cancelo,176399
gavi,323702
ronald araujo,270821
sven botman,274633
tino livramento,299641
jofre torrents,403588
leo shahar,374219
toni fernandez,388285
dani rodriguez,363041
juan hernandez,371565
lewis miley,349078
park seung-soo,371584
jules kounde,231692
alvaro cortes,300377
braian romero,171861
florian monzon,309574
matias arias,407157
lucas robertone,241823
manuel lanzini,149381
tobias andrada,402601
alan barrionuevo,315722
bruno leyes,323250
claudio baeza,177279
elias gomez,196592
federico alvarez,186572
joaquin laso,215871
joaquin garcia,213346
rodrigo aliendro,172387
alfio oviedo,252578
diego valdes,70983
dilan godoy,402596
elias cabrera,339197
gonzalo pineiro,309431
ignacio russo,309475
isaias andrada,388409
jabes saralegui,351815
imanol machuca,285040
joaquin mosqueira,358259
manuel fernandez,399230
matias pellegrini,276287
nahuel banegas,292059
rodrigo pineiro,271786
santiago lopez,365862
sebastian medina,310747
simon rivero,324035
tiago serrago,380193
alex veron,402582
emanuel mammana,195034
german guiffrey,276290
jano gordon,387780
lisandro magallan,195714
gabriel avalos,208421
augusto solari,155009
brahian cuello,243287
cristian tarragona,212444
enzo roldan,303318
facundo zabala,310003
federico mancuello,130029
franco fragapane,167140
lautaro millan,384667
ignacio pussetto,187845
nicolas palavecino,324104
kevin lomonaco,297052
luciano cabral,158304
marcelo estigarribia,96687
matias abaldo,359827
mauro pitton,220073
maximiliano gutierrez,208650
misael aguirre,411864
rafael profini,366216
agustin colazo,310879
santiago arias,164756
santiago montiel,307331
santiago grella,411355
sebastian valdez,236681
tomas gonzalez,336568
walter mazzantti,250387
tiquinho soares,202374
nathan fogaca,273399
antonio galeano,254464
benjamin rollheiser,269813
carlos eduardo,350244
moises,304365
alvaro barreal,279454
alesson,250388
lautaro diaz,292041
reinaldo,115379
rony,236314
adonis frias,234447
christian oliva,270486
gonzalo escobar,236353
igor carius,235539
joao victor,401055
rodrigues,236882
denilson,325101
gabriel bontempo,399179
gustavo henrique,399297
jose aldo,290092
joao schmidt,196856
luan peres,198546
lucas mugni,147148
negueba,153646
mayke,178927
miguel terceros,330665
thaciano,218938
vinicius lira,399409
agustin ocampo,401795
franco zapiola,322911
gonzalo lencina,285380
jeronimo mattar,407376
luciano herrera,317831
augusto lotti,206681
bautista merlini,233948
franco garcia,254035
franco orozco,297054
guido mainero,213170
leonardo heredia,204346
tomas nasif,382915
valentino acuna,371518
alejo montero,269821
bruno cabrera,310734
felipe bussio,387782
maximiliano amarfil,379729
ian glavinovich,343370
ignacio vazquez,3518
juan saborido,319195
luca regiardo,397602
martin luciano,317362
saul salcedo,234429
tomas silva,335371
victor cuesta,200303
david sotelo,350386
benjamin bosch,388734
hector bobadilla,301515
juan gauto,285245
ignacio ramirez,181660
nicolas retamar,310736
marcelo esponda,318277
marcos portillo,332569
martin barrios,287496
mateo mendia,382974
matias coccaro,263095
mauro diale,252199
michael hoyos,143288
pablo altamirano,392535
rodrigo herrera,121876
santiago dalmasso,382979
walter nunez,341510
eugenio raggio,358106
santiago quiros,357498
duvan vergara,226105
matko miljevic,276283
damian pizarro,330295
diego churin,113309
jonatan gomez,102053
junior marabel,253308
tomas conechny,228388
carlos villalba,285967
gaston martirena,302209
julian contrera,361303
manuel garcia,200174
santiago solari,315926
yair arismendi,233331
