prop_cat,n,hits,hr,sport,dimension,lift_pp,pick_type_norm,direction,tier,def_tier,player_tier_bucket,l5_side_bucket,l10_side_bucket,l10_streak,consistency_grade,minutes_tier,usage_tier,game_total_bucket,h2h_bucket,confidence_tier,on_ticket_flag,hit_rate_bin,edge_bin,ml_prob_bin,top3_weak_overperformer,top3_elite_fader,injury_boost_candidate,team_star_out,usage_vacuum,stack_70_eligible,pick_dir_def,tier_dir_player
,6256,850,0.1358695652173913,SOCCER,ml_prob_bin,-5.16304347826087,,,,,,,,,,,,,,,,,,80+,,,,,,,,
,1781,201,0.1128579449747333,SOCCER,ml_prob_bin,-7.464205502526671,,,,,,,,,,,,,,,,,,60-70,,,,,,,,
,717,297,0.41422594142259417,SOCCER,top3_weak_overperformer,22.672594142259417,,,,,,,,,,,,,,,,,,,yes,,,,,,,
,67411,12477,0.18508848704217412,SOCCER,top3_weak_overperformer,-0.24115129578258787,,,,,,,,,,,,,,,,,,,no,,,,,,,
,2253,671,0.29782512205947625,SOCCER,top3_elite_fader,11.032512205947626,,,,,,,,,,,,,,,,,,,,yes,,,,,,
,65875,12103,0.18372675521821633,SOCCER,top3_elite_fader,-0.37732447817836745,,,,,,,,,,,,,,,,,,,,no,,,,,,
,68128,12774,0.1875,SOCCER,injury_boost_candidate,0.0,,,,,,,,,,,,,,,,,,,,,no,,,,,
,68128,12774,0.1875,SOCCER,team_star_out,0.0,,,,,,,,,,,,,,,,,,,,,,no,,,,
,68128,12774,0.1875,SOCCER,usage_vacuum,0.0,,,,,,,,,,,,,,,,,,,,,,,no,,,
,68128,12774,0.1875,SOCCER,stack_70_eligible,0.0,,,,,,,,,,,,,,,,,,,,,,,,no,,
,63,50,0.7936507936507936,SOCCER,pick_dir_def,60.61507936507936,,,,,,,,,,,,,,,,,,,,,,,,,Goblin | UNDER | def=(missing),
,81,59,0.7283950617283951,SOCCER,pick_dir_def,54.089506172839506,,,,,,,,,,,,,,,,,,,,,,,,,Standard | UNDER | def=Weak,
,87,58,0.6666666666666666,SOCCER,pick_dir_def,47.916666666666664,,,,,,,,,,,,,,,,,,,,,,,,,Standard | UNDER | def=Below Avg,
,79,51,0.6455696202531646,SOCCER,pick_dir_def,45.80696202531646,,,,,,,,,,,,,,,,,,,,,,,,,Standard | UNDER | def=Above Avg,
,117,74,0.6324786324786325,SOCCER,pick_dir_def,44.49786324786324,,,,,,,,,,,,,,,,,,,,,,,,,Standard | UNDER | def=Avg,
,97,60,0.6185567010309279,SOCCER,pick_dir_def,43.105670103092784,,,,,,,,,,,,,,,,,,,,,,,,,Standard | UNDER | def=Elite,
,57,31,0.543859649122807,SOCCER,pick_dir_def,35.635964912280706,,,,,,,,,,,,,,,,,,,,,,,,,Demon | UNDER | def=(missing),
,235,127,0.5404255319148936,SOCCER,pick_dir_def,35.29255319148936,,,,,,,,,,,,,,,,,,,,,,,,,Standard | UNDER | def=(missing),
,360,161,0.44722222222222224,SOCCER,pick_dir_def,25.972222222222225,,,,,,,,,,,,,,,,,,,,,,,,,Goblin | OVER | def=Above Avg,
,463,152,0.3282937365010799,SOCCER,pick_dir_def,14.079373650107991,,,,,,,,,,,,,,,,,,,,,,,,,Goblin | OVER | def=Avg,
,2926,863,0.2949419002050581,SOCCER,pick_dir_def,10.744190020505812,,,,,,,,,,,,,,,,,,,,,,,,,Goblin | OVER | def=(missing),
,484,132,0.2727272727272727,SOCCER,pick_dir_def,8.52272727272727,,,,,,,,,,,,,,,,,,,,,,,,,Goblin | OVER | def=Weak,
,481,131,0.27234927234927236,SOCCER,pick_dir_def,8.484927234927236,,,,,,,,,,,,,,,,,,,,,,,,,Goblin | OVER | def=Elite,
,13640,3149,0.2308651026392962,SOCCER,pick_dir_def,4.336510263929619,,,,,,,,,,,,,,,,,,,,,,,,,Demon | OVER | def=(missing),
,3327,636,0.19116321009918846,SOCCER,pick_dir_def,0.3663210099188463,,,,,,,,,,,,,,,,,,,,,,,,,Demon | OVER | def=Above Avg,
,462,88,0.19047619047619047,SOCCER,pick_dir_def,0.29761904761904656,,,,,,,,,,,,,,,,,,,,,,,,,Goblin | OVER | def=Below Avg,
,3356,616,0.1835518474374255,SOCCER,pick_dir_def,-0.39481525625744973,,,,,,,,,,,,,,,,,,,,,,,,,Demon | OVER | def=Avg,
,3740,671,0.17941176470588235,SOCCER,pick_dir_def,-0.8088235294117646,,,,,,,,,,,,,,,,,,,,,,,,,Demon | OVER | def=Elite,
,4735,839,0.17719112988384372,SOCCER,pick_dir_def,-1.0308870116156277,,,,,,,,,,,,,,,,,,,,,,,,,Standard | OVER | def=(missing),
,2401,415,0.17284464806330696,SOCCER,pick_dir_def,-1.465535193669304,,,,,,,,,,,,,,,,,,,,,,,,,Demon | OVER | def=Weak,
,3005,494,0.1643926788685524,SOCCER,pick_dir_def,-2.310732113144759,,,,,,,,,,,,,,,,,,,,,,,,,Demon | OVER | def=Below Avg,
,4478,649,0.14493077266636892,SOCCER,pick_dir_def,-4.256922733363108,,,,,,,,,,,,,,,,,,,,,,,,,Standard | OVER | def=Above Avg,
,5333,749,0.14044627789236827,SOCCER,pick_dir_def,-4.705372210763173,,,,,,,,,,,,,,,,,,,,,,,,,Standard | OVER | def=Below Avg,
,5122,712,0.1390081999219055,SOCCER,pick_dir_def,-4.8491800078094505,,,,,,,,,,,,,,,,,,,,,,,,,Standard | OVER | def=Weak,
,7332,1010,0.13775231860338244,SOCCER,pick_dir_def,-4.974768139661756,,,,,,,,,,,,,,,,,,,,,,,,,Standard | OVER | def=Avg,
,5597,745,0.1331070216187243,SOCCER,pick_dir_def,-5.439297838127569,,,,,,,,,,,,,,,,,,,,,,,,,Standard | OVER | def=Elite,
,338,234,0.6923076923076923,SOCCER,tier_dir_player,50.480769230769226,,,,,,,,,,,,,,,,,,,,,,,,,,A | UNDER | mid/other
,263,159,0.6045627376425855,SOCCER,tier_dir_player,41.70627376425855,,,,,,,,,,,,,,,,,,,,,,,,,,D | UNDER | mid/other
,80,48,0.6,SOCCER,tier_dir_player,41.25,,,,,,,,,,,,,,,,,,,,,,,,,,D | UNDER | top3
,133,72,0.5413533834586466,SOCCER,tier_dir_player,35.38533834586466,,,,,,,,,,,,,,,,,,,,,,,,,,A | UNDER | top3
,1383,472,0.34128705712219815,SOCCER,tier_dir_player,15.378705712219814,,,,,,,,,,,,,,,,,,,,,,,,,,A | OVER | top3
