PLAYER_NAME,PLAYER_NORM,TEAM,season_avg,games,avg_min,category,team_slate,team_def_key,rank_on_team,leader_side,PLAYER_NAME_split,n_games,n_elite,n_weak,avg_delta_all,avg_delta_vs_elite,avg_delta_vs_weak,avg_delta_vs_mid,def_rank_corr,weak_over_rate,elite_over_rate,def_boost,overperform_vs_weak,fades_vs_elite,player,team,opp_team,prop_norm,line,bet_direction,final_bet_direction,rank_score,edge,edge_score,tier,slate_opp_def_rank,slate_opp_def_tier,line_hit_rate_over_ou_5,stat_last5_avg,player_norm,on_slate,slate_edge_signal
Angel Reese,angel reese,ATL,6.323529411764706,34,29.647058823529413,fta,ATL,ATL,1,top,Angel Reese,31.0,8.0,12.0,-0.01583113767480644,0.1630439903234021,0.2915670006409415,-0.4812655634725014,-0.04994320103713379,0.5,0.625,0.12852301031753938,False,False,,,,,,,,,,,,,,,,,False,False
Allisha Gray,allisha gray,ATL,5.714285714285714,35,31.685714285714287,fta,ATL,ATL,2,top,Allisha Gray,32.0,8.0,13.0,0.45898010338121653,2.81402019075169,-1.7116104388758333,1.3114670443246585,-0.40223258389194044,0.23076923076923078,0.5,-4.525630629627523,False,False,,,,,,,,,,,,,,,,,False,False
Holly Winterburn,holly winterburn,ATL,4.0,1,22.0,fta,ATL,ATL,3,top,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
Isobel Borlase,isobel borlase,ATL,0.9666666666666667,30,15.233333333333333,ftm,ATL,ATL,1,bottom,Isobel Borlase,27.0,8.0,12.0,-0.09964016687516306,-0.5319024725274726,0.3326810477226388,-0.34674818544018393,0.3724789074701449,0.4166666666666667,0.25,0.8645835202501113,False,True,,,,,,,,,,,,,,,,,False,False
Naz Hillmon,naz hillmon,ATL,1.121212121212121,33,28.09090909090909,ftm,ATL,ATL,2,bottom,Naz Hillmon,30.0,8.0,13.0,0.16879406967508984,-0.41017058630772335,0.7162837742896273,-0.10738914278340801,0.17245680805224023,0.5384615384615384,0.25,1.1264543605973507,False,True,,,,,,,,,,,,,,,,,False,False
Brionna Jones,brionna jones,ATL,2.375,8,18.375,ftm,ATL,ATL,3,bottom,Brionna Jones,5.0,1.0,2.0,-0.14333333333333337,-2.3333333333333335,0.10000000000000009,0.7083333333333333,0.32511510186086073,0.5,0.0,2.4333333333333336,False,False,,,,,,,,,,,,,,,,,False,False
Angel Reese,angel reese,ATL,4.529411764705882,34,29.647058823529413,ftm,ATL,ATL,1,top,Angel Reese,31.0,8.0,12.0,0.2604807488108061,0.398405695611578,0.3260377594581964,0.08865495770400073,-0.06119209767508668,0.5833333333333334,0.5,-0.0723679361533816,False,False,,,,,,,,,,,,,,,,,False,False
Allisha Gray,allisha gray,ATL,4.457142857142857,35,31.685714285714287,ftm,ATL,ATL,2,top,Allisha Gray,32.0,8.0,13.0,0.44776276048321884,1.5952950130725274,-0.9475087818765273,1.2621511268434218,-0.2647995209238603,0.3076923076923077,0.375,-2.5428037949490547,False,False,,,,,,,,,,,,,,,,,False,False
Holly Winterburn,holly winterburn,ATL,4.0,1,22.0,ftm,ATL,ATL,3,top,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
Isobel Borlase,isobel borlase,ATL,8.366666666666667,30,15.233333333333333,pra,ATL,ATL,1,bottom,Isobel Borlase,27.0,8.0,12.0,-0.9850183746749113,-3.1921932234432235,0.9772128651915404,-1.826357815853614,0.47098547985025396,0.5,0.25,4.169406088634764,False,True,,,,,,,,,,,,,,,,,False,False
Stephanie Jones,stephanie jones,ATL,10.0,1,20.0,pra,ATL,ATL,2,bottom,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
Maite Cazorla,maite cazorla,ATL,13.0,1,22.0,pra,ATL,ATL,3,bottom,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,False,False
Angel Reese,angel reese,ATL,29.058823529411764,34,29.647058823529413,pra,ATL,ATL,1,top,Angel Reese,31.0,8.0,12.0,3.5449476238141537,-0.3788768992445464,4.6714056573903875,5.169774876682772,0.24355749928550663,0.6666666666666666,0.375,5.050282556634934,True,True,,,,,,,,,,,,,,,,,False,False
Allisha Gray,allisha gray,ATL,24.285714285714285,35,31.685714285714287,pra,ATL,ATL,2,top,Allisha Gray,32.0,8.0,13.0,3.046752722277607,2.3601854686532113,2.1064970806948966,4.6572855740567345,0.06482551350078788,0.5384615384615384,0.625,-0.2536883879583147,False,False,,,,,,,,,,,,,,,,,False,False
