type,player,prop,reason,action,confidence
AVOID,Shea Theodore,shots_on_goal,Low confidence (6) vs ANA,Skip this player-opponent-prop combo,94.25
AVOID,Rasmus Andersson,blocked_shots,Low confidence (6) vs ANA,Skip this player-opponent-prop combo,94.25
AVOID,Mason McTavish,assists,Low confidence (6) vs VGK,Skip this player-opponent-prop combo,94.125
AVOID,Rasmus Dahlin,plus/minus,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Tage Thompson,assists,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Josh Norris,plus/minus,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Jeffrey Viel,goals,Low confidence (6) vs VGK,Skip this player-opponent-prop combo,94.125
AVOID,Zach Benson,assists,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Josh Doan,assists,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Jason Zucker,assists,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Alex Tuch,goals,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
AVOID,Tage Thompson,points,Low confidence (6) vs MTL,Skip this player-opponent-prop combo,94.125
