player,team,prop_type,actual,league,espn_player_id,SOT,SH,G,A,SV,PA,KP,TK
Ander Barrenetxea,RSO,Fouls,1.0,esp.1,283941,,1.0,0.0,0.0,,,,
Ander Barrenetxea,RSO,Goal + Assist,0.0,esp.1,283941,,,,,,,,
Ander Barrenetxea,RSO,Goals,0.0,esp.1,283941,,1.0,0.0,0.0,,,,
Ander Barrenetxea,RSO,Shots,1.0,esp.1,283941,,1.0,0.0,0.0,,,,
Ander Barrenetxea,RSO,Yellow Cards,1.0,esp.1,283941,,1.0,0.0,0.0,,,,
Anderson Paixão,CHA,Assists,0.0,bra.copa_do_brazil,276217,,0.0,0.0,0.0,8.0,,,
Anderson Paixão,CHA,Fouls,0.0,bra.copa_do_brazil,276217,,0.0,0.0,0.0,8.0,,,
Anderson Paixão,CHA,Goal + Assist,0.0,bra.copa_do_brazil,276217,,,,,,,,
Anderson Paixão,CHA,Goalkeeper Saves,8.0,bra.copa_do_brazil,276217,,0.0,0.0,0.0,8.0,,,
Anderson Paixão,CHA,Goals,0.0,bra.copa_do_brazil,276217,,0.0,0.0,0.0,8.0,,,
Anderson Paixão,CHA,Shots,0.0,bra.copa_do_brazil,276217,,0.0,0.0,0.0,8.0,,,
Anderson Paixão,CHA,Yellow Cards,1.0,bra.copa_do_brazil,276217,,0.0,0.0,0.0,8.0,,,
Andrei Ratiu,RAY,Assists,0.0,esp.1,287224,,0.0,0.0,0.0,,,,
Andrei Ratiu,RAY,Fouls,0.0,esp.1,287224,,0.0,0.0,0.0,,,,
Andrei Ratiu,RAY,Goal + Assist,0.0,esp.1,287224,,,,,,,,
Andrei Ratiu,RAY,Goals,0.0,esp.1,287224,,0.0,0.0,0.0,,,,
Andrei Ratiu,RAY,Shots,0.0,esp.1,287224,,0.0,0.0,0.0,,,,
Andrei Ratiu,RAY,Yellow Cards,0.0,esp.1,287224,,0.0,0.0,0.0,,,,
Andrew,FLA,Assists,0.0,bra.copa_do_brazil,278802,,0.0,0.0,0.0,0.0,,,
Andrew,FLA,Fouls,0.0,bra.copa_do_brazil,278802,,0.0,0.0,0.0,0.0,,,
Andrew,FLA,Goal + Assist,0.0,bra.copa_do_brazil,278802,,,,,,,,
Andrew,FLA,Goalkeeper Saves,0.0,bra.copa_do_brazil,278802,,0.0,0.0,0.0,0.0,,,
Andrew,FLA,Goals,0.0,bra.copa_do_brazil,278802,,0.0,0.0,0.0,0.0,,,
Andrew,FLA,Shots,0.0,bra.copa_do_brazil,278802,,0.0,0.0,0.0,0.0,,,
Andrew,FLA,Yellow Cards,0.0,bra.copa_do_brazil,278802,,0.0,0.0,0.0,0.0,,,
Andrey,CON,Assists,0.0,bra.copa_do_brazil,307943,,0.0,0.0,0.0,,,,
Andrey,CON,Fouls,0.0,bra.copa_do_brazil,307943,,0.0,0.0,0.0,,,,
Andrey,CON,Goal + Assist,0.0,bra.copa_do_brazil,307943,,,,,,,,
Andrey,CON,Goals,0.0,bra.copa_do_brazil,307943,,0.0,0.0,0.0,,,,
Andrey,CON,Shots,0.0,bra.copa_do_brazil,307943,,0.0,0.0,0.0,,,,
Andrey,CON,Yellow Cards,0.0,bra.copa_do_brazil,307943,,0.0,0.0,0.0,,,,
André,COR,Assists,0.0,bra.copa_do_brazil,409662,,1.0,0.0,0.0,,,,
André,COR,Fouls,1.0,bra.copa_do_brazil,409662,,1.0,0.0,0.0,,,,
André,COR,Goal + Assist,0.0,bra.copa_do_brazil,409662,,,,,,,,
André,COR,Goals,0.0,bra.copa_do_brazil,409662,,1.0,0.0,0.0,,,,
André,COR,Shots,1.0,bra.copa_do_brazil,409662,,1.0,0.0,0.0,,,,
André,COR,Yellow Cards,0.0,bra.copa_do_brazil,409662,,1.0,0.0,0.0,,,,
André Almeida,VAL,Assists,0.0,esp.1,286604,,0.0,0.0,0.0,,,,
André Almeida,VAL,Fouls,0.0,esp.1,286604,,0.0,0.0,0.0,,,,
André Almeida,VAL,Goal + Assist,0.0,esp.1,286604,,,,,,,,
André Almeida,VAL,Goals,0.0,esp.1,286604,,0.0,0.0,0.0,,,,
André Almeida,VAL,Shots,0.0,esp.1,286604,,0.0,0.0,0.0,,,,
