player,team,prop_type,actual,PTS,REB,AST,BLK,STL,TO,FGM,FGA,3PM,3PA,3PT,FTM,FTA,2PM,2PA,OREB,DREB,PF,MIN
Arike Ogunbowale,DAL,FG Made,2.0,6.0,4.0,1.0,0.0,0.0,1.0,2.0,11.0,1.0,4.0,1.0,1.0,1.0,1.0,7.0,3.0,1.0,3.0,30.0
Odyssey Sims,DAL,Blks+Stls,2.0,11.0,1.0,3.0,0.0,2.0,1.0,4.0,8.0,1.0,2.0,1.0,2.0,2.0,3.0,6.0,0.0,1.0,0.0,25.0
Nia Coffey,MIN,Two Pointers Made,2.0,13.0,8.0,1.0,2.0,1.0,1.0,5.0,6.0,3.0,3.0,3.0,0.0,0.0,2.0,3.0,0.0,8.0,4.0,30.0
Serah Williams,POR,Blks+Stls,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0
Sug Sutton,POR,Two Pointers Made,2.0,8.0,3.0,8.0,0.0,0.0,1.0,3.0,13.0,1.0,5.0,1.0,1.0,4.0,2.0,8.0,0.0,3.0,3.0,20.0
Odyssey Sims,DAL,Free Throws Attempted,2.0,11.0,1.0,3.0,0.0,2.0,1.0,4.0,8.0,1.0,2.0,1.0,2.0,2.0,3.0,6.0,0.0,1.0,0.0,25.0
Odyssey Sims,DAL,Free Throws Made,2.0,11.0,1.0,3.0,0.0,2.0,1.0,4.0,8.0,1.0,2.0,1.0,2.0,2.0,3.0,6.0,0.0,1.0,0.0,25.0
Odyssey Sims,DAL,3-PT Attempted,2.0,11.0,1.0,3.0,0.0,2.0,1.0,4.0,8.0,1.0,2.0,1.0,2.0,2.0,3.0,6.0,0.0,1.0,0.0,25.0
Alanna Smith,DAL,Defensive Rebounds,2.0,6.0,4.0,5.0,1.0,2.0,2.0,3.0,6.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0,2.0,2.0,3.0,27.0
Marine Johannes,NY,Blks+Stls,2.0,3.0,3.0,11.0,0.0,2.0,1.0,1.0,7.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,28.0
Marine Johannes,NY,Steals,2.0,3.0,3.0,11.0,0.0,2.0,1.0,1.0,7.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,28.0
Emma Cechova,MIN,Rebounds,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,11.0
Emma Cechova,MIN,Points,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,11.0
Betnijah Laney-Hamilton,NY,Rebounds,2.0,8.0,2.0,2.0,0.0,1.0,0.0,3.0,6.0,2.0,5.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,17.0
Betnijah Laney-Hamilton,NY,Defensive Rebounds,2.0,8.0,2.0,2.0,0.0,1.0,0.0,3.0,6.0,2.0,5.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,17.0
Betnijah Laney-Hamilton,NY,3-PT Made,2.0,8.0,2.0,2.0,0.0,1.0,0.0,3.0,6.0,2.0,5.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,17.0
