player_norm,espn_athlete_id,team_norm
vitezslav jaros,289840,liverpool
harvey davies,315879,liverpool
luke chambers,32572,liverpool
joe gomez,102053,liverpool
virgil van dijk,157892,liverpool
kostas tsimikas,226177,liverpool
conor bradley,250183,liverpool
jeremie frimpong,281119,liverpool
calvin ramsay,291353,liverpool
milos kerkez,323110,liverpool
jeremy jacquet,355980,liverpool
calum scanlon,359218,liverpool
giovanni leoni,380082,liverpool
ifeanyi ndukwe,407397,liverpool
talla ndiaye,414255,liverpool
wataru endo,152479,liverpool
curtis jones,190257,liverpool
alexis mac allister,249299,liverpool
dominik szoboszlai,257206,liverpool
ryan gravenberch,274632,liverpool
harvey elliott,280806,liverpool
florian wirtz,303748,liverpool
james mcconnell,326230,liverpool
stefan bajcetic,330605,liverpool
trey nyoni,356075,liverpool
kieran morrison,357162,liverpool
federico chiesa,234306,liverpool
alexander isak,235662,liverpool
cody gakpo,249524,liverpool
hugo ekitike,304901,liverpool
lewis koumas,350661,liverpool
rio ngumoha,379588,liverpool
will wright,395778,liverpool
joshua lambie,395890,liverpool
victor munoz,397545,liverpool
joshua abe,3111014,liverpool
martin dubravka,126703,tottenhamhotspur
guglielmo vicario,204082,tottenhamhotspur
brandon austin,259942,tottenhamhotspur
antonin kinsky,324393,tottenhamhotspur
dylan thompson,3109635,
ben davies,219599,boltonwanderers
cristian romero,96970,tottenhamhotspur
andy robertson,104943,tottenhamhotspur
marcos senesi,233945,tottenhamhotspur
kevin danso,250543,tottenhamhotspur
djed spence,267711,tottenhamhotspur
pedro porro,268533,tottenhamhotspur
ashley phillips,273628,tottenhamhotspur
jan paul van hecke,282583,tottenhamhotspur
destiny udogie,290076,tottenhamhotspur
micky van de ven,296512,tottenhamhotspur
kota takai,328492,tottenhamhotspur
souza,371532,tottenhamhotspur
malachi hardy,396748,tottenhamhotspur
tyler tingey,3109634,tottenhamhotspur
james maddison,194450,tottenhamhotspur
rodrigo bentancur,215772,tottenhamhotspur
sandro tonali,261047,tottenhamhotspur
mohammed kudus,266599,tottenhamhotspur
conor gallagher,266696,tottenhamhotspur
dejan kulusevski,272695,tottenhamhotspur
pape matar sarr,297337,tottenhamhotspur
archie gray,328050,tottenhamhotspur
xavi simons,332962,tottenhamhotspur
mateus fernandes,346820,tottenhamhotspur
jamie donley,347313,tottenhamhotspur
lucas bergvall,356379,tottenhamhotspur
rio kyerematen,367520,tottenhamhotspur
reiss-alexander russell-denny,372596,tottenhamhotspur
tyrese hall,374109,
luca williams-barnett,395939,tottenhamhotspur
tye hall,397474,tottenhamhotspur
harry byrne,397880,tottenhamhotspur
richarlison,156799,tottenhamhotspur
dominic solanke,194115,tottenhamhotspur
manor solomon,257256,tottenhamhotspur
dane scarlett,306012,tottenhamhotspur
