projection_id,player_id,player_name,team,position,stat_type,line_score,standard_line,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,game_date,delta_pct
12522973,294869,Rasmus Andersson,VGK,D,Shots On Goal,3.5,,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12522974,218704,Shayne Gostisbehere,CAR,D,Shots On Goal,3.5,1.5,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,2.333333
12523010,237785,Eric Robinson,CAR,F,Shots On Goal,3.5,,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12525284,87700,Brett Howden,VGK,F,Shots On Goal,3.5,1.5,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,2.333333
12526323,218581,Brayden McNabb,VGK,D,Blocked Shots,3.5,,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12526324,141441,Jalen Chatfield,CAR,D,Blocked Shots,3.5,,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12521085,268899,Alexander Nikishin,CAR,D,Shots On Goal,2.5,,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12521099,218693,Andrei Svechnikov,CAR,F,Shots On Goal,2.5,2.5,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12521104,218581,Brayden McNabb,VGK,D,Blocked Shots,2.5,,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12521115,87700,Brett Howden,VGK,F,Shots On Goal,2.5,1.5,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.666667
12521121,237785,Eric Robinson,CAR,F,Shots On Goal,2.5,,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12521133,125904,Ivan Barbashev,VGK,F,Shots On Goal,2.5,,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12521135,218273,Jaccob Slavin,CAR,D,Blocked Shots,2.5,,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12521138,218273,Jaccob Slavin,CAR,D,Shots On Goal,2.5,,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12521149,218569,Jack Eichel,VGK,F,Points,2.5,,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12521156,218569,Jack Eichel,VGK,F,Shots On Goal,2.5,2.5,standard,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12521167,232486,Jackson Blake,CAR,F,Shots On Goal,2.5,2.0,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.25
12521173,141441,Jalen Chatfield,CAR,D,Blocked Shots,2.5,,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12521179,141441,Jalen Chatfield,CAR,D,Shots On Goal,2.5,,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12521181,267943,Jeremy Lauzon,VGK,D,Blocked Shots,2.5,,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12521187,64225,Jordan Martinook,CAR,F,Shots On Goal,2.5,1.5,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.666667
12521197,218298,Jordan Staal,CAR,F,Shots On Goal,2.5,,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12521202,268026,K'Andre Miller,CAR,D,Blocked Shots,2.5,,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12521209,268026,K'Andre Miller,CAR,D,Shots On Goal,2.5,,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12521225,231268,Logan Stankoven,CAR,F,Shots On Goal,2.5,,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12521237,57428,Mark Stone,VGK,F,Shots On Goal,2.5,2.0,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.25
12521245,267801,Mitch Marner,VGK,F,Points,2.5,,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12521250,267801,Mitch Marner,VGK,F,Shots On Goal,2.5,2.0,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.25
12521266,265264,Nikolaj Ehlers,CAR,F,Shots On Goal,2.5,,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12521270,218573,Noah Hanifin,VGK,D,Blocked Shots,2.5,2.0,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.25
12521277,218573,Noah Hanifin,VGK,D,Shots On Goal,2.5,,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12521292,172624,Pavel Dorofeyev,VGK,F,Shots On Goal,2.5,2.5,standard,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
12521297,294869,Rasmus Andersson,VGK,D,Blocked Shots,2.5,,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12521301,294869,Rasmus Andersson,VGK,D,Shots On Goal,2.5,,demon,False,CAR,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12521305,231718,Sean Walker,CAR,D,Blocked Shots,2.5,,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,
12521308,231718,Sean Walker,CAR,D,Shots On Goal,2.5,1.5,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.666667
12521324,218224,Sebastian Aho,CAR,F,Shots On Goal,2.5,2.0,demon,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.25
12521338,61274,Seth Jarvis,CAR,F,Shots On Goal,2.5,2.5,standard,False,VGK,,,2026-06-09T20:00:00.000-04:00,163593,2026-06-09T17:03:41Z,2026-06-09,1.0
