SEASON,EVENT_ID,GAME_DATE,TEAM,ESPN_ATHLETE_ID,PLAYER,PLAYER_NORM,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG3M,FG3A,FTM,FTA
2025-26,401810482,2026-01-23,CHA,5061575,Kon Knueppel,kon knueppel,28,13,10,4,1,0,2,4.0,11.0,1.0,6.0,4.0,4.0
2025-26,401810482,2026-01-23,CHA,5211176,Tidjane Salaun,tidjane salaun,18,13,5,0,0,0,0,5.0,7.0,3.0,3.0,0.0,0.0
2025-26,401810482,2026-01-23,CHA,4576060,Ryan Kalkbrenner,ryan kalkbrenner,27,10,9,0,0,1,2,3.0,3.0,0.0,0.0,4.0,6.0
2025-26,401810482,2026-01-23,CHA,2578239,Pat Connaughton,pat connaughton,4,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
2025-26,401810482,2026-01-23,CHA,4277811,Collin Sexton,collin sexton,23,19,0,4,2,0,2,6.0,7.0,3.0,3.0,4.0,4.0
2025-26,401810482,2026-01-23,CHA,4432811,Josh Green,josh green,16,6,0,0,1,1,0,2.0,4.0,2.0,2.0,0.0,0.0
2025-26,401810482,2026-01-23,CHA,4592686,Antonio Reeves,antonio reeves,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,401810482,2026-01-23,CHA,4602025,Sion James,sion james,20,7,3,3,0,0,0,1.0,3.0,1.0,2.0,4.0,4.0
2025-26,401810482,2026-01-23,ORL,4432573,Paolo Banchero,paolo banchero,30,23,7,5,1,0,4,6.0,12.0,2.0,4.0,9.0,12.0
2025-26,401810482,2026-01-23,ORL,4702382,Tristan da Silva,tristan da silva,19,3,3,1,1,0,2,1.0,5.0,1.0,4.0,0.0,0.0
2025-26,401810482,2026-01-23,ORL,4277847,Wendell Carter Jr.,wendell carter,20,4,3,3,1,0,0,2.0,6.0,0.0,3.0,0.0,0.0
2025-26,401810482,2026-01-23,ORL,4066320,Desmond Bane,desmond bane,32,21,5,4,0,0,1,8.0,13.0,3.0,5.0,2.0,2.0
2025-26,401810482,2026-01-23,ORL,4712849,Anthony Black,anthony black,28,4,2,2,0,1,1,1.0,11.0,1.0,5.0,1.0,2.0
2025-26,401810482,2026-01-23,ORL,3150844,Moritz Wagner,moritz wagner,15,14,1,1,2,0,2,5.0,7.0,2.0,3.0,2.0,2.0
2025-26,401810482,2026-01-23,ORL,4065654,Jonathan Isaac,jonathan isaac,4,0,1,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
